#OTU ID	D06	G22	G29	G31	G43	H03	H05	I02	I04	I06	I14	M08	M20	P02	P14	P23	X02	Y07	Y09	Y19	Z10	B02	B08	B09	B13	B15	B19	B23	B25	A12	A20	A22	A24	C04	C14	E04	E06	E07	G27	G37	G39	K15	K27	M02	M14	P27	X04	Z06	Z07	OA11r1	OA13r1	OA7r2	OA9r1	OB03r2	OB05r2	OB18r1	OB24r1	OM15r2	OM17r2	OM21r1	OG24B2A
Sg_D03_78	5078	20257	4724	3554	2351	1657	6443	6550	4628	11359	44	22682	13016	1978	1442	11085	5847	3321	593	182	7146	770	901	2545	174	297	1120	165	750	5077	2036	49	1371	1035	2729	104	2407	1440	5459	2492	3899	874	5369	2232	2339	15525	3555	9892	1723	6174	5044	5600	2856	2224	929	2218	145	413	1761	812	316
Sg_D09_14	15364	3499	6193	960	7052	372	2105	5491	5021	241	15	657	740	26238	3583	566	7262	732	135	781	7078	787	1188	16648	2714	4048	3394	6319	8642	1254	900	13997	706	645	11573	5627	2647	705	3888	1055	2382	555	4231	1034	514	947	304	1951	3122	1608	3830	2564	940	1267	2459	5305	16522	973	661	999	698
Sg_D10_17	629	600	13446	2300	1578	154	1939	1379	459	2709	178418	1356	233	492	248	1286	2054	2489	401	13350	145	1773	10376	1859	1703	5909	1299	296	42314	761	4829	2124	3482	9581	610	19968	18977	50930	16272	3620	12104	56	1890	654	11529	1867	21452	41775	1133	2231	338	580	5696	3550	301	1138	19	5209	16502	1006	794
Sg_D18_45	202	18	75	2304	29	1177	228	70	34	9699	4	142	2072	59	252	194	41	70	112	1429	498	1074	2047	839	100	128	3833	2347	124	5889	217	80	4154	7107	16700	20	3135	6144	1052	2935	439	3733	19104	16126	78	2695	19	593	2449	4235	1017	4350	7680	5423	4373	5106	298	61997	15104	8653	196
Sg_E04_12	2	1	82	367	603	714	87	36	15	531	5413	48	201	4	433	333	20	262	110	1718	94	109	341	330	3495	733	180	1201	275	166	78	6705	77	264	47	120620	73	1329	407	84	257	565	537	1498	1209	674	74	961	222	123	224	291	2516	272	5163	571	546	4307	779	6426	1055
Sg_E06_10	143	782	581	486	35	116	3527	298656	6335	110	4	516	367	101	389	942	125	12750	43	108	1810	565	1210	1302	48	240	245	89	46	287	2823	5	644	262	92	4	26042	45	538	245	186	277	199	94	36	1547	297	192	716	209	8091	1152	136	290	92	410	4	65	274	887	275
Sg_E06_24	3707	537	632	1033	328	1372	380	890	524	266	3	598	1673	872	10040	3195	642	8264	443	174	276	522	404	338	83	994	1050	602	285	2040	171	152	184	1908	446	395	8940	139	827	144	155	2473	555	940	111	1350	153	1322	447	399	1209	328	228	3526	1527	1568	398	112	1526	3887	18
Sg_E10_50	628	402	2329	6232	2381	978	8126	1932	908	8565	427	4223	6226	839	2111	1525	595	3907	388	19540	4473	15605	5373	4846	24550	9087	18724	12716	4169	46499	2477	2320	7389	11596	22645	2255	8109	4488	9886	2976	4530	25417	31930	42615	2510	33391	24997	4733	8531	56237	5082	5869	12823	12206	22493	45715	2864	11082	31031	48872	5055
Sg_EA47_17	517558	73190	2868	211	7265	1088	23149	72323	148304	38	7	23	80	1037167	104603	268	317927	2158	6525	121	15947	1520	8138	166453	4993	90339	54056	26253	57630	1612	14116	210454	6804	302	564532	153464	77652	781	74589	12009	51645	3205	5817	1692	5675	1613	240	881	41818	53175	60805	10286	367	607	24656	4839	67460	11337	156	27583	10769
Sg_EA47_9	32	127	42	107	15	2196	438	276	60	967	2	121	362	61	435	324	49	149	1381	91	605	338	463	225	547	252	450	781	15	873	798	96	1922	130	282	114	2125	285	174	375	511	440	7949	1552	262	708	691	115	561	664	574	1319	218	315	391	782	11	489	1738	1817	377
Sg_EA57_9	1	0	12	1547	3	29	7	2127	5	38	105	0	55	4	179	61	130	6	22	16	74	201	69	657	1588	100	194	27338	247	1414	38	480	19	570	186	288	94	36	123	38	138	1138	268	4033	382	699	290	156	3492	329	74	143	37	432	255	496	1097	194	486	1012	534
Sg_EA61_27	3014	100	99	796	317	30	236	111	197	43	3	158	745	437	7589	2633	371	7296	396	49	539	474	628	94	122	1180	924	716	263	1682	207	9	76	1390	61	279	265	39	399	141	120	2152	321	1034	49	1002	207	113	409	287	903	223	249	3041	995	1216	299	141	1115	2430	23
Sg_EB03_22	638	4	0	15717	3	2	12771	179	12	26	3	58	102	8	9593	6572	257	1191	12	8	182	17780	25791	5868	584	53	27825	14860	9283	11049	1009	24	708	44	98	2	4411	3	419	72	1256	854	25	52	6	731	24	13	3879	2846	3250	195	26	7358	88	25494	3452	66	21	6910	12
Sg_EB08_12	2	4	0	168	3208	14	9	4	0	0	1	1	2	0	5	3	6	63	85	3	17	67	54	10382	49532	79	243	1109	432	156	15	223	29	87	31	3838	39	0	833	2	7	836	44	57	44	37	37	17	522	29	1464	57	17	312	29	107	14	37	147	36628	18
