#OTU ID	A04	A18	G11	Z16	B04	EA44	EA47	EA48	EA49	EA50	EA51	EA53	EA54	EA55	EA57	EA58	EA60	EA61	EA63	EA68	EA70	EA72	EA73	EA76	EB01	EB02	EB03	EB04	EB05	EB07	EB08	EB09	EB10	EB13	EB16	EB17	EB20	EB21	EB24	EB28	EM03	EM12	EM22	EM25	EM27	EM30	EM32	EM33	EM34	E12	K16	M12	P24	P31	CA40A	CD21A	CD24A	CD25A	CD27A	CD28A	CD29A	CD30A	CE19A	CM28A	CM29A	CM30A	CM31A	CM32A	CM33A	CM34A	CM35A	CM36A
Sg_CD30A_34	709	1135	137	47	48	7	398	430	8489	101	1772	786	63776	1127	30	44	3603	60	459	1699	187	78	55	108	197	757	20	273	1822	5	168	12	31	565	95	770	90	32	687	837	1258	1121	27	88	12	3111	263	346	3	173	714	562	89	455	1306	601	743	1682	525	1675	42	30832	3375	450	3035	1108	1665	210	616	1172	1606	1770
Sg_CE19A_15	3339	7519	1501	815	484	14	6541	21033	5609	79	753	83	2104	13209	713	436	5195	966	2603	2827	2022	622	7	373	8735	2244	110	10150	608	188	77	194	179	4003	147	2271	1659	790	1000	2922	1106	572	12	816	2	2883	31	6240	0	4880	4024	357	1788	1975	5746	2350	6812	3335	14749	16783	134	26205	45025	7946	3823	383	11752	11065	2975	13993	11889	15082
Sg_CE19A_24	6074	2450	2147	2405	367	26	374	1720	3005	85	2856	17977	2878	2524	45	1418	1018	198	1042	358	180	318	220	187	2553	295	210	586	10191	163	172	185	463	1291	371	1051	345	256	1401	929	674	646	3989	258	661	1780	2142	407	472	1787	455	628	274	519	593	254	1195	235	416	2740	610	930	6503	269	953	5356	984	282	421	868	1501	22998
Sg_CE19A_29	313	367	93	361	20	2	11	1928	19301	19	465	37	7102	7764	2	2	2207	551	531	342	1044	345	1	44	91	19	62	5691	50	2	129	27	145	361	202	1370	537	248	255	2639	3897	18	3	129	0	3993	3	524	0	28	407	169	487	283	3480	416	1220	8912	3844	3598	38	7107	30031	1945	4734	860	25455	2666	616	779	8845	3536
Sg_CE19A_36	1853	1069	693	5435	3712	240	2167	1541	2748	1412	2876	1939	3677	2109	294	1536	1672	2308	1474	1706	1487	2200	2486	2318	1008	1311	2452	1925	2958	1078	2151	2280	3563	1703	4258	2776	1312	1933	2429	2990	3028	2186	1964	1673	2170	2522	1951	1067	2453	2036	3870	1412	1080	2901	6313	969	1827	2705	12470	1890	2045	2674	2361	1937	1743	3912	3911	5244	2010	1883	4827	3537
Sg_CG50A_22	954	538	898	1033	251	240	482	1213	590	483	273	389	423	291	108	261	435	707	636	746	910	427	385	496	431	325	568	1691	982	187	333	868	317	683	385	530	944	370	527	939	565	715	181	580	414	549	446	1388	191	141	887	277	707	803	1727	417	432	1166	722	2769	962	2205	214	1724	1920	328	1261	6002	1640	1129	2211	884
Sg_CG50A_49	8267	121	22680	256	286	4	158	7988	555	412	539	188	166	847	62	17	75	64	1892	2472	24	45	7	1279	6684	5776	47	3307	676	17	33	5274	4	2722	330	1104	627	8	3	69	373	43	1	48	0	461	21	59	2	64	28	8	3126	6	364	15292	9026	932	23	70	7595	3099	251	2832	161	12	83	85	90	47	78	10
Sg_CG50A_74	41	239	726	50	381	3014	17	2271	3310	75	5	2550	76	14995	5052	1617	2791	783	529	3108	1251	593	611	1312	3863	7	11	811	67	932	1811	1901	39	2558	14325	1774	638	6	1735	79	370	709	802	1001	134061	1936	6904	1537	156	2452	96	3112	2998	89	7046	544	888	621	181	1871	5283	1479	190	951	477	2569	1331	433	189	2722	2144	7600
Sg_CK05A_18	10072	15579	951	3500	264	93	1943	27505	27496	3124	10839	16103	16369	31400	177	1097	5281	579	1227	710	1496	1420	1516	604	3843	3913	236	5685	65536	360	3314	466	816	10939	1370	4757	1814	1155	596	2298	9685	5980	636	444	262	31289	2675	674	45	1642	1413	2893	1603	557	17783	2389	16354	5077	14455	9343	637	14628	14305	9959	17280	4222	22022	428	6461	14179	27830	9245
Sg_CK05A_21	875	413	632	1237	200	11	499	357	646	75	243	273	1270	583	61	465	167	316	2667	259	330	358	72	568	163	111	153	632	170	277	103	135	344	463	724	127	284	245	2365	485	641	437	802	298	182	256	649	533	92	180	644	127	481	564	849	92	419	228	245	514	472	284	2031	649	366	25596	7218	3231	474	265	277	3315
Sg_CK05A_46	725	1557	15075	1719	172	8	532	9849	1014	213	453	306	685	199	61	221	2576	1854	489	324	247	250	137	277	1765	285	366	1553	449	99	216	1074	484	359	217	402	1543	359	225	1032	441	173	166	253	168	345	212	419	280	118	675	192	742	491	9027	1027	497	32988	824	1180	13746	1363	542	25586	1797	231	1686	1494	12950	1285	1664	709
Sg_CK05A_56	336	2949	121	227	138	804	369	2699	821	159	713	219	424	5836	233	328	697	330	518	874	162	135	144	227	873	679	268	1359	679	548	497	594	629	1535	356	336	1503	255	1476	423	325	150	114	204	510	17232	303	267	13	5396	199	242	265	883	382	991	503	1057	376	4774	188	548	9783	603	877	498	621	480	405	536	1536	477
Sg_CK28A_36	192	146	20	1286	24	220	86	50	311	61	306	2279	5257	419	78	28	14	28	82	138	17	485	49	39	78	33	114	76	5794	8	118	45	113	42	35	170	29	47	170	357	19304	421	582	25	115	325	850	52	29	1568	818	269	25	276	87	13	2700	10013	4991	372	64	29	1906	67	224	720	72	112	77	2486	24	4069
Sg_CK28A_47	1	1771	4913	357	47	1	0	10	6	10	2	1	10	19	0	10	1	3	1	3	23	20	2	3	1643	3	117	23	9	44	1	126	360	695	7	6312	152	10	88	0	2	1	163	6	0	1	21	4	2	1	67	4	487	1	1654	7625	1	1120	4	0	261	4	2	2230	3	1	3043	4	2	1	2	6173
Sg_CK51A_47	1614	2526	1690	3546	725	124	884	3481	2814	3845	3835	1192	1334	905	171	467	836	824	1437	1549	1101	1404	342	1563	1580	2239	2049	1170	2623	239	930	1453	581	2317	1099	2321	1761	1143	993	1207	1554	1917	596	1890	500	4034	828	1309	329	294	1622	832	1469	3075	8232	3619	1657	3483	1099	609	1534	823	2779	842	1544	978	1039	529	911	411	13706	3355
Sg_CK52A_43	172	552	12852	199	74	1	69	777	294	15	555	46	32	65	32	17	124	268	150	155	173	32	73	42	484	55	42	3644	34	27	130	1215	9	57	51	141	911	243	59	163	37	131	76	79	8	19	4	1360	23	12	190	13	2812	42	3873	497	101	1028	1594	2397	4282	2767	61	8609	3792	48	1295	4710	18672	1151	482	118
Sg_CK52A_74	420	1661	92	108	33	664	660	211	3102	671	2298	1454	1345	1492	27	34	744	5483	1571	779	50	46	53	92	246	458	22	143	1633	31	102	53	74	441	59	820	378	18	131	1442	7239	272	272	42	238	863	100	169	44	228	121	849	183	2025	669	1430	741	5350	405410	887	55	649	1099	416	9849	189	1690	3339	490	447	5453	617
Sg_CM17_16	173	13	1425	529	5735	3	381	1729	391	931	191	34	3	168	83	49	95	25	78	442	20	49	0	23	4574	7389	95	1147	891	37	9	405	3	3758	313	1891	1199	9	0	58	770	7	0	23	0	179	7	74	9	489	2	4	1267	3	574	12413	14700	2183	17	55	127	812	93	1057	80	13	131	381	19	5	42	3
Sg_CM17_58	21209	42	3611	54	28	0	62	18748	3556	36	22	32	74	58	14	40	29	77	11463	9445	9597	640	135	67	288	37	15	42900	128	77	32	208	41	175	76	400	3215	41	91	29447	4415	414	16	158	22	35	20	23	88	7	4072	14	5948	35	16934	2787	69	41414	75745	157867	1433	52723	39	23718	58007	130	41427	97052	8537	8086	65379	98
Sg_CM17_7	646	3021	9234	2289	144	24	549	1056	1049	367	28	383	424	213	51	399	1304	808	496	1134	538	849	19	207	664	335	286	1812	241	127	209	1252	97	514	415	593	1926	446	1686	2235	503	246	34	953	62	207	21	749	25	21	1909	545	2282	330	17448	2178	1166	14855	4787	14187	4365	30811	704	8740	10424	396	2146	32962	12016	12424	6958	1120
Sg_CM21_15	909	2223	369	33	7	0	53	100	542	230	2252	23945	101	1634	141	37	104	9	67	19	1	19	51	2	223	400	10	68	382	11	69	7	72	536	19	300	51	12	70	5126	189	189	0	8	126	467	80	87	3	69	71	2794	524	19	396	60	52	185	689	741	16	866	989	426	431	1166	1759	81	209	258	4816	576
Sg_CM21_57	5323	17913	427	247	135	45	524	795	5080	56	1842	3868	12001	2195	50	245	1731	131	400	694	150	214	406	149	429	780	14	1366	44370	26	507	42	1056	6664	2040	3567	323	149	2900	1994	5413	6573	5138	362	65	30773	959	1783	7	1403	1320	3668	540	548	1395	6031	1269	2511	2576	1439	100	618	70077	2059	47301	2525	8901	256	302	2817	8153	1527
Sg_CM29A_16	450	9299	15783	1621	60	0	175	3943	1463	41	20	153	92	52	15	51	4869	257	489	828	322	86	52	55	514	138	75	8608	71	18	74	2277	103	169	106	316	2573	90	70	318	119	759	86	133	13	81	93	164	130	9	6133	23	398	1211	5541	140	169	7669	342	510	3198	3034	272	2517	15025	116	707	1875	5968	498	368	269
Sg_CM30A_3	4125	4615	1255	11740	6872	2	3480	3028	5162	2315	186453	22515	1599	98802	2752	3666	9653	3056	3199	6451	1986	4451	7825	3245	68709	58540	4788	7061	5196	4585	4646	11195	3840	49625	22351	103345	14123	4404	11189	8471	4478	6601	4002	11718	18150	4388	4041	4326	3462	1604	3259	2379	6661	5932	21740	25823	1527	3468	1259	550	3236	2512	745	5481	3623	101326	3062	10407	1107	833	7122	24936
