#OTU ID	E11	G33	I09	M18	B27	A02	A28	A33	A37	C02	D02	D10	D18	G02	G47	K43	M04	M16	P15	YA02	YA03	YA04	YA06	YA07	YA10	YA11	YA12	YA13	YA14	YA16	YA19	YA21	YA23	YA26	YA28	YA29	YA30	YA31	YA32	YA33	YA34	YB31	YB32	YB34	YB35	YB36	YB37	YB38	YB39	YB40	YB41	YB43	YB45	YB46	YB47	YB50	YB52	YB54	YB55	YB56	YB57	YB59	Z04	Z12	Z14
Gp_NH_148	69	121	96	84	308	769	600	44	85	551	201	122	929	2730	744	64	1071	170	202	137	281	353	7683	7341	2797	503	422	870	257	175	470	365	466	364	361	17929	202	196	1824	368	407	13868	265	1103	487	219	55	302	243	282	726	943	338	1636	77	332	371	889	2491	249	2637	591	4734	1357	564
Gp_YAB_333	1036	29	46	497	2	339	1008	2	44	14	4	202	60	124	59	687	253	13	41	190	24	0	3	9	16	28	6	4	210	1	2	7	6	0	1	10	9	28	16	1754	8	36	18	0	11	6	5	0	7	0	7	0	117	153	13	22476	0	58	13	13	18	3	365	24	24
Gp_YAB_339	4085	274	17	618	49083	1118	43	875	711	15	340	633	8726	1574	4438	339	59	2818	112	172	36	0	17	1	18	337	485	58	36	270615	83	1	1154	27	112	704	1076	2	496	179	14907	30	259	165	352	8	4500	114	136	156	1	5	0	388	130	3355	11521	999	38	93	249	383	431	2	48
Gp_meta27_16	438	1066	13	4449	190	1773	2676	82	1502	41	167	14	484	1976	47	816	4668	67	169	2846	1039	531	5030	51098	2308	33804	359	6595	1835	82	11461	306	1250	382	674	578	55	206	13273	1838	9103	4321	240	403	9082	273	86	365	328	69	40936	457	7519	3433	1040	189	260	1636	1535	3363	7209	383	1807	303	8315
Gp_meta27_511	803	1937	1459	1023	209	1125	1273	634	639	1120	586	1253	728	610	1291	1203	511	1072	514	635	203	39	331	123	168	932	85	91	413	1243	117	1732	379	228	208	451	917	821	235	484	987	188	374	168	431	357	1409	157	100	366	167	64	228	702	360	734	71	286	328	2781	380	163	543	206	197
Sg_A01_16	92916	9383	119	38611	2	2	0	101	39	5508	431	188	3	17	0	353	27645	44	26	369	1656	122	12242	3	15708	8589	8	4	6234	1	250	7744	671	10400	44481	0	1	2575	5919	55	1418	2	14	248	734	56	117	0	250	5272	12	3251	0	115277	10	23903	3889	1711	11	688	1000	7613	1	53	25381
Sg_A07_40	28	152	39	8326	59	3495	28	158	52	2511	2905	44	409	10693	74	121	1207	79	311	6055	714	809	2088	3067	421	1037	894	2195	936	19	650	610	1163	1133	576	1006	120	3581	932	537	618	994	262	680	636	33375	152	533	1212	1006	1989	742	540	478	455	335	614	434	1008	649	640	2219	2824	464	11699
Sg_A11_10	401	164	186	474	105	537	6512	744	485	1634	2599	4598	2250	5943	6795	257	5193	1671	1979	1046	2643	7683	4245	53226	3383	5580	1855	4458	2533	512	22310	3061	2958	3382	2252	12875	705	2472	1401	3500	3728	6268	3483	2574	1185	2963	716	4441	1547	196	15346	4674	39794	2958	1147	2486	27066	7173	3947	5144	2043	4323	1930	2350	2246
Sg_A11_12	1590	1324	128	1010	17185	3042	17	6662	280	23	625	318	1443	620	806	839	83	6221	130	66	280	3	85	3	108	447	298	22	100	8663	248	0	39	250	543	2700	14140	2	590	303	867	63	966	295	4	55	5302	960	15	523	15	3	12	611	323	77	130	253	53	390	1485	128	630	12	131
Sg_A11_2	19560	3551	92	4102	103012	5450	64	3164	1043	740	192	3339	415	280	671	169	91	24589	253	587	1576	12	86	5	143	549	8097	48	78	2726	832	15	124	92	514	5702	4317	1	1018	346	1123	32	3111	29	19	12	2000	191	815	177	28	1	19	736	225	87	1547	2875	1546	6948	2745	163	15008	14	770
Sg_A11_47	540	312	98	1037	12	148	66	70	45	86	126	12	1238	219	36	40	37084	38	80	2047	2021	123	109	314	101	166	106	160	294	9	128	171	522	195	121	222	101	296	631	165	297	157	170	162	33793	136	53	128	88	73	302	140	287	1010	49	181	148	219	314	1168	1605	127	1732	3333	2057
Sg_A15_26	18	200	237	132	15	52	89	53	49	32	113	24	181	120	37	95	590	35	39	202	51	129	129	201	152	110	81	24	52	9	63	107	68	115	53	90	6	67	68	108	59	102	218	127	950	168	108	138	87	159	299	44	105	95	52	96	23	185	58	60	124	45	78	139	93
Sg_A17_17	420	2415	1293	579	859	535	766	427	789	661	26254	1208	28645	1087	1784	316	1058	664	2448	3724	1271	85113	1753	1782	2903	2004	74162	2061	1154	105	6463	2314	2365	13280	3038	1522	825	2612	3618	4636	3711	1872	7043	50119	1735	22561	1302	4452	4506	366889	4905	63797	7247	1040	749	1267	3687	2398	1805	1552	1312	2389	1238	3584	1305
Sg_A19_11	12	1	20	29	109	1	1	1973	11	5	208	94	19	219	2	13	6	303	63	55	14	69	65	86	350	98	427	5	31	303	674	33	408	93	158	75	45	274	51	1147	410	940	1124	1706	97	5	2	18	174	250	14	14	12	271	415	101	272	47	73	73	104	23	45	25	9
Sg_A19_12	334	4772	904	505	873	431	1308	827	9045	12449	17968	1462	3917	2354	402	414	1177	642	3555	3565	1899	3182	1696	3284	2274	1614	8635	1867	1398	123	4689	2370	2354	1391	5288	1462	808	4467	5363	4205	3074	2507	2767	1389	2162	62758	12683	2989	2106	4578	3717	3952	3039	1034	1091	1520	1882	2936	3708	2816	1292	9559	10010	3046	1941
Sg_A19_18	502	9551	1241	2158	56	621	585	1078	403	735	1608	57	894	2072	216	521	1000	398	2310	2138	2689	5773	3418	1344	1062	1905	1907	1415	2315	85	1262	1000	3071	3340	3166	2086	181	3903	1584	1851	1816	4329	1003	3096	2249	1599	777	6795	10920	561	1944	6932	2640	697	587	1800	1367	1728	3339	3361	2598	1303	1062	2358	1678
Sg_A19_36	3	1	1	981	3	79	4	4	0	3	0	48	3	431	6	142	5	17913	1	172	3	2	1643	0	7	5	15	484	10	7556	37237	2	3	6	32	672	41360	0	107	8	705	426	266	146	1	12	93	0	6	66	36	2	2	7486	439	410	3792	19	1	5	1871	104	1	40	64
Sg_A19_51	381	1005	312	229	60	533	233	305	936	344	1015	243	552	1240	574	1137	359	167	2295	503	930	916	490	945	558	893	573	484	547	212	487	782	802	595	1816	387	185	1867	1943	1247	1166	717	645	1660	573	3924	1119	3929	591	466	1998	892	928	660	184	504	749	1337	358	756	568	1534	326	790	994
Sg_A20_2	8786	1284	2036	336	10	9690	2287	4	1134	1009	64	61	137	93	248	844	14402	53	457	9713	48	2	9	48	20	26	8	10	162	6	6	144	19	11	22	61	6	7287	43	2565	84	49	218	1	59	94	52	5	162	25	7	5	25	6205	13	12817	2	33	14542	215	456	22	529	32	2067
Sg_A20_35	605	8	1873	8629	2	13734	1100	1	37	7	2	19	81	647	4	931	701	2	25	46730	306	0	2	31	3384	109	7	1	159	30	0	39	4	0	1	30	1	9	2	102	2	6570	593	0	13	7	7	0	1344	0	6	0	66	863	13	992	0	247	2482	2130	10	2	451	1062	926
Sg_A22_19	72	108	292	160	68	140	409	981	14033	81	2675	149	8786	288	1662	134	258	2966	38092	8437	1242	2543	553	836	673	948	774	847	398	27	556	485	687	2497	754	475	222	7498	557	433	302	485	4088	8395	462	1202	256	2926	1316	15345	4364	981	1043	258	181	832	843	276	504	527	600	705	2746	626	253
Sg_A22_22	51	4	5	3	2	1	0	0	44	270	3	1	7	13	3	298	1	1	1	3	15	1	6	1	1	3	3	12	30	0	3	0	1	3	3	4	0	1	3	3	2	8	5	4	1	5	0	4	9	0	2	12	4	2	2	2	1	0	3	1	1	5	2	5	1762
Sg_A22_3	1	10	39	6	5	29	30	2	46	11	55	15	105	58	25	11	37	20	59	47	38	294	60	228	42	40	52	35	539	10	121	18	11	169	28	59	67	51	22	62	19	77	56	205	37	12	32	131	16	749	62	108	51	1	409	26	3	223	15	63	95	36	17	57	8
Sg_A22_8	1965	7052	5990	6087	4064	7978	3172	89629	2603	9652	162729	3570	80262	27432	8649	7903	27368	54416	303989	32693	76320	200751	69700	71767	41973	42585	142957	132373	72810	7637	52864	155056	110134	382468	173397	135458	20781	40398	28277	80913	77268	175057	164006	111207	9542	30533	73484	68400	94758	617	39860	372172	129061	33785	14251	48811	39381	76745	74225	83359	57417	220322	159190	178182	53715
Sg_A24_54	106	261	60	13575	19	457	207	63	54	199	159	96	1260	650	92	137	2911	72	158	16634	20319	174	205	768	232	294	278	958	1977	130	293	129	3901	117	116	227	32	1553	5825	334	493	541	314	818	3492	156	101	132	262	8	533	760	1167	8916	73	276	417	408	766	12402	17061	299	18246	30836	23092
Sg_A27_23	10263	902	19440	6198	14	6536	16551	2	1306	314	64	74	102	6545	518	13336	2650	21	223	7747	2791	4	47	555	1757	1139	18	8	5169	439	79	73	11	10	46	97	3	843	8	977	11	1360	1051	4	38	108	32	1	921	4	13	11	246	1459	90	2275	2	1382	415	342	538	14	5826	193	304
Sg_A27_31	248	1428	1083	834	841	1693	2954	720	632	8536	3909	394	36118	2163	500	536	48004	5198	3549	43460	105654	100486	56538	107717	22113	48297	2525	40991	7042	376	120854	83331	5382	4708	22176	48201	1806	6351	49585	58136	31387	34627	3846	63503	77258	4383	1264	3884	4146	1341	8407	11138	69653	3361	30665	52583	1473	13809	29111	103703	59916	109348	19501	5542	71581
Sg_A28_8	70837	35	65	51585	103	18873	454214	0	76	5	13	8	5175	15742	11	110115	30091	531	42	4715	2883	1	828	430	970	2955	2514	3	43821	40	7	26	1476	1	7	420	5	393	657	4334	2	3256	2695	0	7	17	12	0	1465	1	343	1	7593	4659	1463	4951	0	8282	891	1262	1203	0	23177	724	649
Sg_A33_4	118	6	7	1449	8865	2672	21	145932	169	74	960	18	3628	24	85	84	77	605	13	194	2317	42	553	9757	204	16	39	71	469	2	269	35	16	31	258	115	241	30	1004	109	1365	315	53962	106	1669	19	36	76	1439	4407	252	203	26	56972	11	1398	13408	33	19	54	5667	51	18	31	20
Sg_A34_19	2860	176086	1175	132	61	104	194	29	849	1016	328	1608	4182	27151	1352	443	174	129	685	414	501	268	1083	342	161	586	239	1357	1157	8	168	1488	964	3356	228	329	79	374	77	1311	542	239	454	26	448	413	30056	47	452	10576	1269	1909	136	85	90	1103	71	421	6999	663	643	212	1411	186	157
Sg_A34_5	7880	248	118	127	808	168	95047	12	716	164	16	403	7737	224	214	206	102	10	204	136	48	7	95	16	13	1111	34	43	6308	1	35	1	61	8	65	19	16812	75	15	52	50	34	481	69	83	30	109	38	23	13	395	54	65	24	32	110	10	401	72	22	44	13	112	66	33
