#OTU ID	E11	G33	I09	M18	B27	A02	A28	A33	A37	C02	D02	D10	D18	G02	G47	K43	M04	M16	P15	YA02	YA03	YA04	YA06	YA07	YA10	YA11	YA12	YA13	YA14	YA16	YA19	YA21	YA23	YA26	YA28	YA29	YA30	YA31	YA32	YA33	YA34	YB31	YB32	YB34	YB35	YB36	YB37	YB38	YB39	YB40	YB41	YB43	YB45	YB46	YB47	YB50	YB52	YB54	YB55	YB56	YB57	YB59	Z04	Z12	Z14
Sg_D09_14	3653	2838	464	2046	22069	4001	246	7599	750	711	1265	733	1383	1133	1160	1654	506	11175	207	446	1894	139	602	219	858	1290	1560	242	905	11017	1558	691	846	1596	781	3242	6406	446	1480	684	1761	280	1879	823	486	358	6076	772	348	1233	251	212	407	1099	453	510	1176	1597	700	922	1521	896	3035	313	380
Sg_D10_17	396	18882	17390	963	689	1730	1966	456	97224	184956	21936	159273	765	4111	42050	103420	16153	248	85818	32877	1650	93	77	3663	3000	107	1472	1616	352	57	6634	250	136	248	1314	750	1	10144	579	628	1968	59	86	1045	41802	25288	6322	37	121	16162	84	780	1618	963	80	5667	385	31	2243	126	799	2198	2012	1204	1352
Sg_D18_45	212	1777	690	162	36	1549	680	28	648	1710	135	1333	44806	25023	1047	2259	10897	4905	69608	134	12731	150555	13427	27757	4708	10654	210	8562	17324	2229	73791	10603	671	34950	10817	20314	1784	16866	5632	24931	7390	20028	12002	60254	20596	101	55	76499	1061	46	59594	13798	15194	758	51	7561	8793	4600	2512	37102	11062	10567	999	11855	23616
Sg_E04_12	15	531	271	48	89	41	907	1084	1212	321	1808	422	1320	495	573	468	267	616	810	558	4267	11071	4903	241	544	948	1312	829	1082	50	403	1388	1254	5725	2406	3969	150	2225	139	505	627	4813	5092	1849	227	569	92	5647	1248	8782	6264	6507	1709	73	674	1604	296	612	2074	3709	2022	1887	189	731	162
Sg_E06_10	480	648	2092	556	8	304	58	245	205	219	110	31	90	577	109	148	531	86	99	626	295	69	98	1227	218	169	48	94	196	8	127	125	164	4	53	314	11	362	88	354	356	202	107	135	1101	120	82	70	115	90	1005	31	198	462	136	529	174	370	442	323	408	137	253	863	1851
Sg_E06_24	8584	570	2658	1623	363	348	92	257	116	49	1288	82	638	302	117	96	1838	312	845	620	1270	56	2647	4398	5505	1905	2107	1442	3382	30	44	3215	878	23	5715	478	49	3369	8086	3140	2562	3438	4900	304	1794	704	143	79	1566	135	1734	169	768	1310	784	1237	8352	2565	800	1218	1820	356	2267	133	698
Sg_E10_50	4089	5314	11718	4920	1293	4377	2135	3163	4717	3762	25240	1562	41241	17834	2338	1864	13698	4284	7225	6835	33685	111048	28770	122482	61849	17922	9141	23977	83003	2520	21759	9048	34448	18194	45227	97642	4587	117015	7897	37239	25751	82799	9568	14618	15376	8472	11262	23139	22048	3224	33023	18392	62505	24895	77851	36011	10071	19441	22980	110233	18832	21807	25114	14837	48134
Sg_EA47_17	20842	2542	5117	6695	563142	10375	390	11057	15250	404	3281	2357	4393	1925	5077	627	49	161303	356	1420	75022	9	39	48	19534	1722	18080	3238	7729	6977	36844	1	3293	45921	185	9223	14013	3	3867	1431	1322	66	9506	502	30	46	789	255	108	1783	149	179	1033	4504	131	956	3385	652	10445	5161	2413	1413	59479	16	2497
Sg_EA47_9	153	1867	254	95	401	281	169	68	380	243	169	29	3177	690	197	38	1955	1241	137	1579	2706	5856	7044	18419	6894	11840	152	1214	10426	24	342	1726	1906	9035	2539	20178	1183	2384	1957	1679	95	15109	39847	126	1512	305	1283	2662	195	123	467	451	4684	373	148	1399	189	863	1303	3240	975	2748	663	1694	994
Sg_EA57_9	14	16	28	179	1807	12	11	21	201	82	987	50	407	259	71	119	70	873	229	612	118	4256	782	1640	5192	954	5248	347	268	556	9528	352	3167	1969	847	1817	213	421	100	581	775	1068	617	1848	1081	119	124	156	1847	4934	988	660	237	5115	470	267	3396	585	742	419	778	620	239	497	472
Sg_EA61_27	7673	371	2066	1311	57	347	142	149	20	17	1502	75	557	535	83	126	2540	119	365	368	1189	116	2775	5106	4384	2154	1760	1491	2865	9	93	3421	905	128	9997	891	58	1643	6797	2858	2930	3314	6481	314	2436	374	72	218	1092	79	1122	218	580	1395	959	1182	7604	2733	539	1324	1790	793	2059	199	577
Sg_EB03_22	1904	10	2	258	405	2425	1085	7	28	9	25	3	44	25	9	11	4864	9	19	29	41	80	18514	105	13087	65	17	19865	5535	24	191	105	2327	162	51	22412	62	53	25	22109	49	84834	8862	69	49	8	79	230	256	5	78	103	67	4109	3367	35	35	616	7395	45	11856	25	11400	74	37352
Sg_EB08_12	5	1	1	187	48	55	470	398	31	12	45	0	74	16	3956	18	23	86	1	41	31	80	52	119	742	138	383	42	368	4	450	80	724	71	56	155	420	93	15	147	57	224	282	145	113	20	10	16	69	34	2168	14	6	4860	94	43	469	688	76	85	69	38	146	31	28
Sg_EB09_7	10173	2168	528	5814	558847	8484	74	8218	1492	111	998	839	1054	480	3663	406	22	20760	359	987	3242	3	103	8	986	637	3317	224	514	5176	4561	4	460	2424	482	8958	348451	4	1045	947	1156	55	1442	480	18	11	3341	269	36	488	17	14	65	1135	396	147	1284	500	801	725	532	135	7274	10	236
Sg_EB10_11	6836	192	1600	1968	140	259	127	409	1	0	1090	77	736	205	93	89	1370	121	1005	1051	1065	15	2284	2763	3328	1809	1770	1171	2745	5	0	2532	523	1	5317	306	2	6291	5451	2806	1538	2370	4140	1	1338	737	34	5	674	48	3618	0	782	883	579	783	7737	3357	837	926	1250	257	1600	24	854
Sg_EB13_4	2996	28690	16276	2126	1111	1957	10094	159	21075	39364	3801	125994	3913	6532	86649	21415	3379	1416	8840	8406	978	440	401	887	1673	834	1269	1204	1888	20	1182	594	838	1489	5442	791	62	3818	1005	1641	2500	496	1021	1144	7225	9989	7659	635	440	5745	769	1318	2367	565	268	2584	295	702	1881	413	525	903	6983	1546	1342
Sg_EB21_10	3541	195	1316	1016	61	187	117	295	108	15	763	65	613	294	98	136	901	125	454	441	880	382	1517	3231	2557	943	1606	1327	2469	6	223	2164	812	76	4085	291	53	2745	5562	4292	1354	1676	2017	327	806	442	553	1126	6447	205	1602	170	828	783	503	645	11498	1468	569	793	866	329	1011	173	570
Sg_EM03_4	75	6	1	105	0	1101	2	7	8	15	32	1	252	987	2	16429	1142	9	2	413	3224	7	9	7	84	25	4	15	17	6	1	19	7	0	41	5	6	2011	41	11	27	1447	91	2	140	1	2	5	76	5	16	0	9	29	55	39	15	25	6612	8	5296	9	70	138	355
Sg_EM03_7	588	3013	1500	322	15	1768	155	3	804	61	202	128	193	132	450	4001	1351	1	9042	2955	886	0	105	658	33	25	166	4	419	0	7	118	35	10	160	39	0	2086	933	817	342	75	6	2	76	18	501	10	2	11	206	2	19	236	53	79	27	5	1373	13	160	21	1108	263	5
Sg_EM12_46	65	65	103	38	3	34	340	7	240	43	37	114	16	53	8	104	80	1	219	17	14	0	7	3	21	1	2	11	3	0	2	1	2	1	52	14	1	41	19	41	10	2	7	0	42	14	25	0	0	8	0	1	2	99	13	46	0	0	57	1	3	27	9	11	6
Sg_EM12_61	514	4531	37586	1078	227	694	1056	1551	949	1167	26445	423	2797	2690	663	796	5700	700	2356	2531	2332	3494	2565	3445	2038	2836	7056	5287	1891	359	5714	4559	2986	2073	1763	2894	663	3034	34157	2733	2105	2850	2059	3137	2365	1658	759	3807	3872	1033	4190	3253	4065	13241	1174	4344	3227	5527	6387	2254	22539	3640	1693	9702	2076
Sg_EM22_6	1009	423	93	890	25077	2634	18	4497	217	93	524	643	670	418	443	670	273	10061	116	233	102	1	58	4	61	408	4014	7	49	5006	329	3	63	14	263	5232	3539	2	442	805	886	45	4664	186	12	24	3403	499	89	463	13	2	261	540	202	70	1489	1503	1326	383	782	151	3107	10	604
Sg_EM25_40	971	2493	1477	3824	225	999	541	175	472	1034	496	159	3058	1485	448	516	1168	228	415	1068	1164	442	1855	776	892	2756	353	784	3307	76	576	632	2121	366	587	1225	226	1301	1054	1487	2734	824	1109	961	1189	1478	1044	726	1171	558	1373	1291	2683	872	919	1578	497	2686	1439	2238	837	818	1614	1130	1060
Sg_EM30_38	52015	5004	3003	33941	1169	21418	285436	2335	2787	1055	2095	501	3986	6772	1594	25737	52944	1684	3102	7980	2190	3937	991	3608	7052	2664	1627	1876	25404	256	1100	698	1873	493	1006	3744	583	1534	1355	4294	1114	10756	11418	923	2078	1217	582	1639	16770	608	1138	2674	5180	13143	2751	4622	2105	30207	3127	3959	6169	2336	29889	2092	2453
Sg_EM30_40	298	24900	3721	5404	129	409	399	272	41528	22957	995	186	25709	1418	94	361	69420	644	425	1984	8995	799	881	1807	396	8999	547	220	385	69	870	20999	840	438	328	700	141	1117	878	890	2511	11410	1952	396	559	596	277	655	1783	1330	6834	255	37041	836	325	33840	604	1290	39411	2823	20018	1275	737	696	590
Sg_EM34_4	64691	100356	10019	123666	46217	709666	2731	814306	24959	7412	241822	37396	144866	80705	85271	249952	12317	701119	20470	8284	12777	8390	17282	5534	10102	51536	14481	7596	13817	982466	6762	6207	9932	9398	61101	262677	790336	4358	63804	38012	119313	13179	112926	60033	2461	9052	647486	112966	8312	120046	6665	8299	4899	61249	45435	11457	8020	25573	5596	44914	165614	24171	33786	8047	19202
Sg_G06_49	117	79	21	114	383	2614	12	486	61	37	103	37	4906	108	56	132	602	521	51	76	112	58	48	1156	37	506	38	70	83	603	77	29	80	16	49	901	459	167	165	77	380	314	112	94	36	54	393	82	42	140	102	27	6318	1298	162	50	87	94	63	246	86	112	21139	72	58
Sg_G06_9	6	2874	5101	333	2769	14	66	48	3525	9302	1635	20061	29	27826	250	2879	53	130	21531	319	113	155	60	41	59	121	4104	1473	3862	9	1312	592	185	121	482	69	91	81	29	99	68	69	122	329	794	484	17	94	168	59024	132	232	59	19	16	45	332	77	62	111	337	66	42	270	1195
Sg_G09_4	4708	889	66125	546	883	4806	306	1513	56434	495	451	9995	881	3972	502	4449	5870	1386	9452	2211	374	90	410	425	426	305	258	139	620	1924	75	520	637	123	1424	723	1279	16145	1490	693	468	427	853	105	623	201	2734	427	774	238	618	28	1706	314	561	196	1143	409	2726	302	454	1543	772	122	282
Sg_G10_35	508	109	27	591	778	1950	453	21	665	780	179	71	34	77	131	211	1120	7	139	51	23	60	2527	33	16595	104	67	2068	15226	11	42	20	4927	53	46	4522	88	65	23	2131	51	9075	19982	78	70	50	26	90	131	71	31	276	104	5136	5447	18	10	1672	973	79	1314	25	7611	68	8953
Sg_G11_20	4060	17	10	35	1	2254	0	8	9	1	25	6	16	13297	6	6	2338	2	35	18	8379	12	1840	23	47	977	4	101	35	2	8	18	275	51	24	132	0	14	27	20	1555	4928	26	94	11	8	8	26	79	1	8	52	42	478	14	2394	2	16	47	9	15	47	42	11963	1623
Sg_G18_1	2159	4	4164	759	2	5352	728	55	1394	5	94	17	2547	8869	14	4003	1522	2	5	1911	5	6	168	1262	1431	8	10	244	216	2	2	11	3	7	18	367	3	6	220	553	17	10709	64	10	5	70	918	4	14	379	47	5	14	25	24	1891	9	426	366	9	908	687	1242	18	1500
Sg_G18_19	2042	8364	12080	2619	248	2023	1483	2529	6395	3675	1570	5617	1235	2505	3098	3216	1662	1657	4236	1838	1098	964	998	1446	1140	982	960	1042	1119	2276	906	844	950	735	1840	985	806	1929	1261	1690	1425	1184	857	791	3388	1510	2671	1275	1210	894	1301	834	1082	1771	596	1750	1157	955	1992	1066	917	1086	1322	1169	2221
Sg_G19_41	187	691	181	542	78	517	392	86	149	313	2999	125	1630	6636	172	202	2259	161	371	2884	1041	1225	1092	25373	644	57773	1095	791	694	3442	900	506	821	590	417	1339	88	1435	657	2547	723	1888	790	497	7529	704	299	929	1150	218	1157	1113	958	2806	806	8059	484	3945	2345	1159	2024	525	2110	1550	2970
Sg_G21_58	2692	989	59	1386	155	3121	179	35	65	552	558	50	374	510	126	163	1202	47	55	327	828	15	1205	559	524	2105	61	102	1203	18	433	230	847	5	144	314	0	482	540	1358	528	126	257	88	355	1443	376	57	186	478	496	27	1948	21422	658	693	38	1143	689	881	76	90	2643	265	375
Sg_G22_16	1475	1210	233	2481	15634	2035	28	4076	381	143	449	2627	1376	486	1266	589	52	5566	109	139	1272	4	69	5	330	2594	408	51	149	5245	853	8	93	576	305	2137	7951	1	528	260	734	49	712	215	909	29	3657	646	21	455	11	7	15	778	156	68	1398	418	145	308	1004	107	1246	6	103
Sg_G26_10	4633	2386	17636	785	3	159	67	19	6209	35	1061	68	107	199	17	427	1006	31	6	796	60	1	189	194	41	35	12	39	135	1	678	900	159	22	3	11	0	13504	701	1689	1561	53	21	3	11134	80	35	8	50	0	95	17	26	159	125	628	5	11	181	28	168	9	2851	763	814
Sg_G26_22	79	884	3312	43	148	36	127	13	1648	1091	436	1382	148	382	1636	476	42	6	1396	149	50	58	9	101	67	513	10	61	19	6	111	9	3	17	264	12	6	111	77	281	202	1	29	9	958	545	1577	6	8	47	21	24	60	65	3	206	6	17	169	5	37	91	195	73	158
Sg_G26_28	303	2861	486	616	77	1010	430	402	3719	785	986	179	910	3671	333	276	897	282	2806	1603	1070	954	1016	1390	668	1227	679	1307	1012	98	730	960	1554	1218	1096	1085	199	1341	578	1046	3202	1001	928	1203	2206	1276	480	1232	1185	507	1379	1616	2121	1660	653	952	960	1082	2262	1306	1962	1705	5314	1355	1629
Sg_G29_33	2212	47	478	721	1637	89	47	5225	11	2	1710	14	92	295	98	18	312	56	13866	12551	925	106	871	1082	1100	424	797	1600	1369	1	3	995	264	8	1279	92	1	63366	2042	938	298	733	1004	10	271	124	25	69	449	208	44044	20	395	487	248	492	3349	782	225	571	612	418	572	43	714
Sg_G33_7	2124	68141	2274	761	7	499	82	31	421	348	177	162	146	665	229	272	956	26	108	522	239	77	334	591	49	282	363	203	207	1	70	168	235	11	191	198	1	259	895	558	706	701	361	30	367	178	51	236	102	42	372	48	161	460	79	390	312	336	2625	206	681	250	820	956	709
Sg_G37_59	281	585	219	138	77	12424	859	87	515	469	286	818	759	659	966	793	695	50	966	614	920	455	193	2224	283	478	750	532	714	58	439	176	433	300	459	430	699	1013	519	776	381	221	255	457	11474	393	363	13029	173	110	444	734	647	279	94	501	299	4129	379	225	759	416	3679	1919	420
Sg_G39_28	42771	82220	371	57	614	1105	1669	8	53562	299	34	2640	4204	2241	307	38874	1543	61	37288	703	10574	0	965	229	1415	88	1473	2879	1293	0	2393	589	1557	2	11376	678	5	3159	8462	194	5463	1	255	0	48020	29	7979	0	20	3	3393	2	34	101	2470	104	0	218	35066	686	1099	3334	434	8176	1166
Sg_G43_29	380	1292	792	280	15	4587	621	2	292	769	55	558	97	158	556	307	219	13	286	395	37	0	8	73	57	21	17	21	147	7	63	22	1	9	70	4374	5	119	23	105	54	35	13	8	130	158	152	7	15	42	8	8	32	124	29	17386	0	102	115	13	28	49	419	21	51
Sg_G46_28	1744	1907	2194	23303	152	14594	327	167	2778	1752	658	1266	712	547	2290	1090	10349	398	1838	601	588	661	713	649	847	632	442	456	762	41	466	357	609	373	583	7913	67	803	398	604	764	684	838	361	1989	1212	604	1164	538	151	599	467	372	34926	209	11983	413	677	807	824	490	455	722	713	881
Sg_G46_34	2085	3392	13736	1527	916	574	279	219	3889	6332	216	155	264	1154	144	1924	801	315	2688	739	1227	394	330	615	274	738	166	192	321	70	2077	161	709	134	260	322	323	4380	354	2056	945	453	943	194	1980	783	199	2748	485	90	849	833	419	2633	151	577	2592	166	1156	524	908	248	3938	1352	1344
Sg_G46_4	5397	5160	57	8	13	13	115	103	19	3	46	1513	17	11	22	5	11	28	106	110	4553	39	54	119	17	293	13	61	8125	1	35	111	8	10	53	12	5	4228	199	12	6	18	34	45	5	3	7	40	9727	413	435	3	745	18	1	233	48	1073	28	16	3119	16	36	2166	251
Sg_G47_17	35	889	217	24	92	55	5058	47	2753	644	532	3222	1095	128	16632	210	355	70	513	169	236	217	144	218	421	211	1327	224	146	6457	140	656	182	1000	684	184	74	153	739	298	134	302	259	733	210	210	151	175	328	6577	285	235	446	180	25	231	83	256	173	529	1123	181	561	948	574
Sg_H04_45	5656	17036	392	8941	398	17785	17628	129	463	2481	590	255	1668	4782	505	1517	3060	394	206	4483	2644	91	3131	861	2652	14697	261	1378	9836	786	615	1008	14469	54	515	5850	10	2530	1465	2790	3319	1084	1104	334	1697	5876	2637	410	730	2015	2196	99	2822	2149	3607	3112	286	4422	1596	3075	903	1142	5218	1470	1417
Sg_I01_33	173	14	9	3664	329	23	1743	0	18164	123	5	359	2243	2	36	49	823	14	10971	916	0	0	408	1564	59	0	1	209	440	0	2	0	227	1	4	21	0	8	1988	481	664	205	22	0	12	9	369	0	0	3	569	0	1	52	523	115	0	34	207	0	261	1118	3463	1765	433
Sg_I05_27	7444	1782	8361	18280	130	1720	285	2088	2444	1011	673	796	452	1039	290	1844	3575	1637	467	1118	515	47	517	374	268	465	95	84	327	2681	115	194	243	33	542	735	1608	778	672	8554	596	259	354	199	8720	363	1325	435	147	236	505	22	401	8860	744	3112	235	376	1095	344	1284	177	528	892	14705
Sg_I05_65	31	1288	569	206	5	1326	110	740	638	1081	168	2	612	600	0	26	2329	26	13	74536	365	35	21814	286	67	184	43	36	407	2	216	839	106	22	5476	512	6	56	66	85	32	393	707	31	177	18	126	123	500	26	289	37	594	13548	32	1357	19	88	1258	101	951	193	229	70	18310
Sg_I06_25	260	577	161	330	224	266	1248	1093	144	326	2956	3430	777	4123	187	334	869	205	5113	1082	1701	4740	1240	1858	921	1533	11992	2618	5977	50	6343	1276	10799	9159	379	854	709	5436	947	848	9173	1178	3217	7839	551	5906	267	7000	10761	349	696	15569	8766	247	528	1370	6015	9444	10143	2016	1205	5348	588	3899	577
Sg_I07_11	11243	16250	1314	23218	7722	50391	306	120722	3160	611	23423	5548	19760	11973	11949	21149	1327	84586	2324	767	396	215	1596	128	637	6868	1263	28	1576	140543	224	35	599	77	7827	37823	106673	136	8776	4922	15573	1028	15647	7052	60	674	94960	15331	323	10218	251	372	46	8565	6020	1320	587	4504	104	5764	23695	2409	4689	383	2255
Sg_I09_29	89290	27105	34635	16227	1911	3876	219	3718	15241	7107	4347	6751	6786	48366	10938	5978	6851	2980	1798	17635	3329	136	1088	297	1551	6029	3599	17762	10999	280	1353	2637	3818	1905	534	318	171	16022	441	2327	2198	279	696	14572	2294	821	18117	4536	2975	13771	1261	2755	53783	1383	1456	12615	124	50440	1687	10549	755	13981	9015	4740	1186
Sg_I12_32	545	2145	986	1101	314	657	617	1247	796	556	1712	437	1119	1821	365	836	889	1239	1189	773	1364	1585	1482	1386	1169	1212	1504	2006	1172	877	1074	865	1837	1958	2088	1154	773	1412	1207	1067	2567	995	1198	2113	1508	11143	1346	2222	2156	1124	2069	1775	2036	976	727	1208	1657	1470	1747	1697	1151	1634	953	3130	880
Sg_I12_44	1251	6266	5513	317	36	394	354	18	2651	128	26	1762	248	2381	225	694	574	5	417	343	811	2	33	37	21	23	13	17	63	0	17	16	23	1	522	17	1	686	1575	564	176	3	43	2	204	62	178	3	7	1	159	4	64	37	57	87	27	32	1674	32	24	163	883	43	102
Sg_I12_6	8791	390	1799	1170	514	414	67	577	20	29	1812	64	507	314	78	187	2098	315	626	515	1334	19	3794	5480	5104	1880	1777	1493	3350	532	47	5905	793	11	11339	559	360	2788	7775	3240	2129	3263	5459	67	1676	441	67	215	994	164	2044	4	512	1622	709	1293	9157	2208	516	1175	2243	259	2039	20	424
Sg_I13_16	28	3	3	6	0	756	14	7	12	2	140	1	3	6	1	4	17	4	1	3	4	3	3	3	6	2	8	0	5	0	9	5	3	3	0	5	0	6	6	3	10	3	0	0	4	23	8	1	0	0	16	3	35	5	2	11	15	5	0	3	4	0	8	10	6
Sg_K01_3	263	244	14507	490	33	304	10284	108	410	15235	408	11537	713	1518	734	324	13001	1925	978	47257	566	166	681	2415	338	20967	2307	569	267	193	483	470	257	466	104	361	19	455	143	1610	257	258	2431	13162	663	426	149	1164	581	38	997	338	532	433	190	3245	1011	541	220	249	638	179	12377	2640	397
Sg_K01_5	5318	174	1604	1293	263	173	89	958	13	3	917	45	636	258	68	54	1027	81	2532	2140	1026	33	1379	2515	3825	1173	1613	855	2307	2	17	2002	438	7	4395	228	21	11944	4246	2047	1272	2119	2623	6	624	361	53	23	728	30	7008	4	696	772	512	683	7066	1918	388	890	925	388	1268	34	649
Sg_K09_1	71	953	325	141	120	281	140	394	300	273	1837	87	1266	762	152	125	920	5660	1249	752	1045	1967	1027	1772	1396	2141	2325	3219	1821	79	767	1641	1668	1382	1040	958	785	1583	1694	936	1154	929	77571	3111	661	1734	437	2677	1355	684	2923	4665	1381	557	621	522	1087	1690	2017	1444	846	1415	684	1299	654
Sg_K09_61	816	1395	89	985	8826	3429	9	1889	318	51	1278	328	1509	334	388	1842	28	5054	122	75	793	1	83	8	218	274	5938	42	72	5250	489	2	298	351	567	1414	5549	0	515	327	1275	79	612	288	5	39	1943	548	24	627	6	2	17	435	261	69	1343	220	93	306	614	136	4360	8	121
Sg_K10_28	12656	5	12	23441	23	9288	29782	0	1	8	2	3	1062	2256	1	11906	5818	154	1	715	330	0	102	49	631	508	399	1	6140	3	0	6	235	2	2	66	29	196	118	1341	0	782	658	0	1	2	9	3	530	0	86	0	1489	2502	222	981	0	2730	2638	212	3919	0	12065	149	150
Sg_K14_18	414	29	134	1940	2071	11624	1087	45	31	30	149	18	1010	79	27	18	3020	28	153	124	126	135	4849	177	67053	143	180	5157	42312	68	227	174	31669	188	85	18021	197	169	50	5015	290	19890	49991	491	61	94	54	120	328	7	253	199	106	21528	33800	103	155	988	1993	308	2627	175	41668	145	32655
Sg_K15_44	502	2474	338	2373	1355	1422	2004	3613	1095	1902	16079	603	12903	13197	1330	1530	11289	2005	4068	20386	33790	54199	30253	20079	30429	27449	50799	87343	22060	1119	38381	26591	53700	17889	35373	22916	20920	28412	13567	30139	24704	35131	6568	67397	4656	24797	4802	48432	69617	240	24896	66533	12032	5876	9671	9955	28151	34854	29624	47909	17865	28462	8903	24011	13898
Sg_K16_17	5	3	1	64	0	200	1	629	2	8	11	1	1442	5642	0	11238	12565	2	1	171	7841	4	886	8	29	16	3	23	23	0	0	5	94	2	5	7	0	14	183	40	15	4	21	1	1309	510	5	2331	5	1	3	1	4	45	11	82	6420	27	45	7	36	6	33	319	48
Sg_K16_50	22	0	2	29	435	1132	12	108	739	6745	5378	10	74493	5947	5	1332	2001	841	6	220	83	9	862	8	1382	7719	332	179	3	5	4	81	4	19	206	30	3	3	396	69	5615	102	22745	2	253	40	780	336	29563	37	103	4	1929	17	21	7765	791	18231	99	118	32	1042	7668	2051	3369
Sg_K16_53	2469	1141	1230	10179	1083	10159	1550	141	188	784	894	108	2892	18530	318	623	1978	7811	527	930	4042	1777	3389	1962	1730	45378	174	3422	6597	44	1190	24546	4254	410	2246	4273	39	2898	68561	10041	19604	6904	794	3373	2568	714	1513	383	815	615	3678	87	6294	14258	4501	4452	3920	3288	2855	10341	2893	40848	1141	3420	2458
Sg_K17_22	713	861	1192	636	70	235	33	29	1069	505	83	750	44	226	387	428	374	11	390	505	361	7	250	57	54	246	12	56	251	2	65	26	788	29	444	139	1	262	64	114	1056	51	311	19	646	164	328	22	19	19	40	2	62	277	24	916	17	44	251	83	138	55	134	234	203
Sg_K22_12	62	33	983	2920	53	1	1	3543	3632	535	91	459	17	2429	288	84	587	2772	23	12	2	2330	6	0	5	26	58	2420	62	145	20	1526	11	2	5	150	92	1	6	7	503	27	11	661	6136	14	3	8	0	16	1	17	3	235	1122	53	36606	12	0	0	95	5	38	25	9
Sg_K22_14	186	43364	2580	2055	48	2668	1493	1475	304	2116	1259	876	3041	28605	53826	14529	3349	348	1089	15641	3502	843	464	1951	437	1151	1116	2591	490	45	1363	979	545	1179	711	1319	122	1570	426	3752	1741	1095	6595	647	762	1049	318	498	1167	378	1601	1513	35962	1066	308	8367	2694	1721	1027	2607	16235	1725	20248	1323	1486
Sg_K22_66	288	1199	1041	1041	69	949	516	97	204	409	870	190	1296	785	194	370	2358	361	409	4656	1588	1381	2723	9050	1543	1914	954	1253	1142	145	742	5262	5430	1605	720	1585	86	1232	1443	4086	2581	2755	5822	926	1186	620	419	805	924	91	3175	912	1279	1157	1019	937	848	1091	2721	1562	5237	961	3769	877	2796
Sg_K22_8	124	365	87	113	99	159	141	11653	228	147	1633	301	3000	511	1149	352	669	239	1083	812	1348	2903	1647	2502	707	1621	1505	1015	966	144	748	1475	1182	769	2526	1758	596	1439	685	1292	1104	2026	4585	554	677	5444	302	2367	777	237	1483	1279	1449	278	972	557	675	1731	1088	2334	852	1097	964	2298	685
Sg_K31_45	336	38361	103	119	3	10	0	74	26	388	116	36	11	24	5	78	267	17	30	16559	146086	295	70807	12	21770	63	27	11	44	2	79	79160	171	2034	279	11	7	418	2186	52	134	12	12	5367	254	199	163	6	56351	2718	36	264	8	488	18	188	995	337	18	17862	90	952	18	34	442
Sg_K32_30	79	315	12	24	377	436	20	316	3487	36	186	39	9	15	22	3	5	300	7	9	10	1	9	3	3	22	8	1	7	150	35	1	2	0	183	100	540	0	103	26	31	0	40	11	0	1	164	316	3	10	1	2	0	37	32	5	43	26	1	9	60	1	41	1	7
Sg_K34_1	415	619	379	845	24	3193	163	85	248	81	385	46	258	489	61	148	197	132	287	310	293	259	441	353	196	374	369	222	128	22	244	157	502	598	253	293	142	528	253	339	384	197	153	92	585	412	104	296	690	22	307	643	876	404	63	288	474	396	639	349	407	387	216	613	1069
Sg_K36_16	1362	8076	512	10102	5398	4727	6123	22279	4901	8511	98498	2301	46607	71803	6110	5113	49779	7879	26444	113622	186286	307474	184205	56734	133208	130356	317504	550041	107801	2409	240018	127693	298622	88092	351957	145433	113299	150634	54245	118147	207157	199369	18024	429533	4835	137349	6254	327935	412022	37	171040	380984	57071	19506	50691	37956	174202	185285	167729	264733	85307	167886	41639	118183	59723
Sg_K36_17	3216	837	387	2193	93055	2272	31	1917	1251	221	936	489	516	1688	610	374	21	17904	125	2059	6229	1	30	18	1948	408	5065	1678	465	3537	4593	5	1200	2631	113	20703	12813	2	804	1706	1997	338	1394	224	39	20	1537	335	130	750	35	18	88	1488	161	143	841	319	688	3190	516	230	10283	11	205
Sg_K36_27	323	575	391	5451	885	6160	347	504	2264	1593	1890	169	8483	1349	777	448	9928	2199	9669	1350	12250	4622	12347	11920	6771	12342	2076	8606	15063	287	2401	9081	4436	2619	7340	6472	482	9011	7826	6291	5007	8339	2984	2607	11530	2198	2736	7187	7219	1358	6235	3413	3326	5114	3993	9190	1698	3161	6005	4276	4924	18418	5323	26590	17460
Sg_K36_29	319	2206	1169	2356	1618	1332	724	29441	1888	3809	43400	771	20859	22491	1740	6439	12580	783	15254	9928	73168	56657	52903	30473	20313	24439	29987	29476	48090	479	14410	17303	25797	45434	47512	27091	790	53919	13226	30197	7124	14736	27273	4207	5895	214203	16572	32640	15731	218	30561	15121	22917	19706	22918	16866	18781	35148	23289	39565	25927	26985	19469	51804	11955
Sg_K36_3	145	14989	706	209	37	514	104	10	58598	1594	165	1967	214	360	1508	765	2277	6	42314	218	44	454	90	8139	62	15	12	8479	66	1	376	179	3	5	231	21	22	88	28	909	233	8	11	111	545	818	126	16	7	71	9	31	26	231	3	2465	11	16	60	3	97	172	191	22	1208
Sg_K36_6	236	1935	574	504	223	330	375	20567	18326	2550	5515	413	1749	2712	1029	1284	543	419	1563	1151	1731	3121	1671	1683	933	3398	2739	2371	984	46	2543	1481	2085	1868	3474	1925	20270	1925	1171	1496	2511	1763	3399	3689	2773	3223	20182	7267	5319	13814	2667	5984	2884	632	573	828	2159	2182	2390	2485	842	2233	771	2325	857
