	MAG	Group	RA
83	Blautia stercoris	Offspring	0.0011839080532169
84	Faecalibacillus intestinalis	Offspring	0.0012918065407551
85	Mediterraneibacter lactaris	Offspring	0.000928727591483977
86	Alistipes communis	Offspring	0.000913030553662537
87	ER4 sp003522105	Offspring	0.000445185894200904
88	CAG-177 sp000431775	Offspring	3.30184787120486e-05
89	Vescimonas sp900545495	Offspring	0.000645857687638362
90	Bacteroides fragilis	Offspring	0.00413344278936926
91	Bacteroides eggerthii	Offspring	0.000487320920750115
92	Vescimonas sp900545585	Offspring	0.00313349838373552
93	Alistipes shahii	Offspring	0.00377476464637226
94	CAG-170 sp002404795	Offspring	0.000198475534185778
95	CAG-170 sp900548625	Offspring	7.09847565684478e-05
96	Vescimonas sp001916855	Offspring	0.000893811213267647
97	Parabacteroides goldsteinii	Offspring	0.000817704614368866
98	Desulfovibrio sp900556755	Offspring	0.00223208728467999
99	Faecousia sp000434635	Offspring	0.00071566558075874
100	CAG-170 sp900545925	Offspring	0.000678254583543332
101	Alistipes onderdonkii	Offspring	0.00289190157827997
102	Vescimonas sp000435975	Offspring	0.00118926195312855
103	Coprenecus sp944326235	Offspring	0.00140650100031736
104	Alistipes_A ihumii	Offspring	0.000390204822972056
105	CAG-170 sp000432135	Offspring	0.00240122411037162
106	Anaerobutyricum hallii	Young	0.0145482812641215
107	Fusicatenibacter saccharivorans	Young	0.0188132827240059
108	Anaerostipes hadrus	Young	0.00795080134978256
109	Blautia_A massiliensis	Young	0.0174975278408597
110	Hominisplanchenecus faecis	Young	0.00260037541663484
111	Oliverpabstia intestinalis	Young	0.00317053145860423
112	Blautia_A sp905209435	Young	0.00334830758404136
113	Mediterraneibacter faecis	Young	0.0205379530288986
114	Blautia_A sp000436615	Young	0.00542230015877507
115	Schaedlerella sp900066545	Young	0.000680475706107295
116	Blautia_A wexlerae	Young	0.061356796535975
117	Sg_K15_44	Young	0.0108488780823045
118	Blautia stercoris	Young	0.00230352187594451
119	Faecalibacillus intestinalis	Young	0.0057251970144002
120	Mediterraneibacter lactaris	Young	0.00186218099736007
121	Alistipes communis	Young	0.000804087552000119
122	ER4 sp003522105	Young	0.000160206178927855
123	CAG-177 sp000431775	Young	0.000158215073878553
124	Vescimonas sp900545495	Young	0.000106493009121283
125	Bacteroides fragilis	Young	0.00207108369470075
126	Bacteroides eggerthii	Young	0.00118544639097432
127	Vescimonas sp900545585	Young	0.000161823951780413
128	Alistipes shahii	Young	0.00149231767894396
129	CAG-170 sp002404795	Young	0.000194303852897159
130	CAG-170 sp900548625	Young	3.41910070184897e-05
131	Vescimonas sp001916855	Young	0.000527611727048742
132	Parabacteroides goldsteinii	Young	0.000677706825648109
133	Desulfovibrio sp900556755	Young	0.000447290860470047
134	Faecousia sp000434635	Young	0.00013829624563143
135	CAG-170 sp900545925	Young	0.000331814545364606
136	Alistipes onderdonkii	Young	0.00172650585485995
137	Vescimonas sp000435975	Young	0.00067809571335305
138	Coprenecus sp944326235	Young	0.000983784782699662
139	Alistipes_A ihumii	Young	0.000135644031483726
140	CAG-170 sp000432135	Young	0.000934862709417974
