	rab.all	rab.win.C	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_B07_38	-1.00943593652511	-0.702325251310277	-1.25663488559157	-0.671800543495246	2.75177201411796	-0.218900627704934	0.382360010212465	0.00108271141074914	0.00179426624644752	0.0139628850804799	0.0184213165417681
Sg_B07_50	-2.66584321608761	-0.647811249136558	-3.60313712740943	-2.9271146807652	3.55530886928175	-0.704970774078348	0.212500002068238	0.000000000000821899083390041	0.00000000000467179334518299	0.000000000190089625481892	0.00000000118101335234875
Sg_B07_53	0.981492280164216	1.83973545735323	-0.983326840070648	-3.36986226361094	5.34208560856022	-0.603085013314622	0.25618841778565	0.0000000098889405139689	0.0000000313435239991941	0.0000000644496252369697	0.000000210924697993291
Sg_B07_62	-2.63984333914056	-1.68003843572602	-4.48267372631605	-2.50803906243064	4.01369275331306	-0.577882384034115	0.249459266210011	0.000000191984099582048	0.000000522262424738194	0.0000000384112470148392	0.000000131310398298439
Sg_B08_36	0.0155674653183002	-0.109137760889158	0.193453001292933	0.30776522220162	3.25279164982092	0.0884983979194046	0.453365384841919	0.351327543968539	0.383244430198444	0.312966372825586	0.343155244961438
Sg_B14_1	-2.99503298961474	-2.84680510641634	-3.1580787920528	0.192577948923308	5.95321178827387	0.0280675098542888	0.486538461603331	0.86139667727442	0.870323112474547	0.807180119600378	0.82016396012127
Sg_B14_13	0.227334773057639	0.601365512548266	-0.74530110943956	-1.37815485258028	3.91884311430314	-0.321548488584955	0.35600961614069	0.00281758615227802	0.00429287371223807	0.00139719896810961	0.00216035009928188
Sg_B15_22	-0.561763615586929	-1.63027671155909	-0.0430172664857542	2.43873637216279	5.09569187161893	0.435313245313859	0.315068494181836	0.00000159585023400308	0.00000408222124719586	0.0000787493140403815	0.000146352733450901
Sg_B15_23	1.76659579011755	1.93199757107035	1.28302121454404	-0.672646268001053	3.74260165527904	-0.164690612011617	0.42812500035341	0.20844060201759	0.237909205646236	0.11029207406901	0.129882449240239
Sg_B15_35	-1.56109542551011	-2.41089089456895	-0.196572332777585	2.33605015609187	3.5108205914089	0.634431581826991	0.231434753078502	0.00000000866533504416111	0.0000000277409009021951	0.00000000461463952933677	0.00000001980449768876
Sg_B15_52	-1.2131399907222	-1.38135860604207	-0.84551645240094	0.284409888434809	5.04454727276974	0.0553497864326627	0.476682692420219	0.494526219381564	0.520773870566993	0.56697963522445	0.590079185407668
Sg_B19_58	-2.02629816634155	-0.9069525214019	-3.07966628524757	-1.83418781641574	3.75165462071059	-0.463798427356508	0.284306658329109	0.0000352545335215114	0.0000719373821715583	0.00000168084925375589	0.00000444363154868707
Sg_B25_10	-1.12170915937539	-1.87052627262845	-0.525116397320838	1.42224614586407	3.17420449512127	0.411109745438873	0.311703918383622	0.0000120137841893301	0.0000273669422106723	0.0000465115483430921	0.0000907351929281081
Sg_B25_38	-0.30756631150104	0.541192784603787	-1.0949965309604	-1.53066220936689	3.48172964770622	-0.405174635087548	0.317548077936612	0.000556477448592002	0.000962127387741959	0.000100483485919483	0.000183398214508721
Sg_B27_18	0.277754182877269	-0.300389559522668	0.660681527403365	0.926882315391146	2.60675744218475	0.308176076649252	0.359615385349244	0.0068080192689267	0.00970882120839122	0.00262868141166868	0.00388254169971935
Sg_B27_6	-0.44202547053001	-1.23405209418272	0.31465412576376	1.17356691111652	4.17197370004986	0.267342974411117	0.381879356526186	0.0128995199158622	0.0175613685257418	0.00775259438353408	0.0106890366972122
Sg_C03_36	-0.560238415349323	-0.0813535307383422	-1.52051686096253	-0.967031862565937	3.62504314645782	-0.241886195142698	0.389903846711017	0.0714156132344544	0.0889698609232358	0.0126090968266408	0.0167415835186253
Sg_CA11_3	2.57887737395408	2.26391669745655	3.06106024827879	0.926888423188718	3.52908989837304	0.25130820392497	0.396779620802509	0.0074860900324832	0.0105853680344057	0.0179340494141609	0.0233342467624437
Sg_CA11_52	1.61347076591012	0.0160356467940428	2.94125762497047	3.54668436001302	5.45079661801475	0.606910842894919	0.247776978316619	0.000000000182573680440465	0.000000000828289394203291	0.0000000447418986126317	0.000000152122723465795
Sg_CA13_9	0.556651319023409	0.541252263266093	0.650722661918338	-0.0110710603471373	3.16451388046975	-0.00287495322527939	0.498678202361565	0.946258495771782	0.949335455239007	0.955182945116654	0.958146638230598
Sg_CA25_14	-1.38738316019211	-0.0752056916792156	-1.86744520193285	-1.85991844006178	4.09276857051772	-0.413773929662395	0.309300649956575	0.00000000410294229120469	0.0000000139350756122468	0.000025545403893308	0.0000527209254384013
Sg_CA25_21	1.01285910868117	1.98154655874113	-0.8858619660649	-2.66633424877792	3.7444194888556	-0.667733431400296	0.243269232448118	0.00000000277794650096843	0.00000000996366087518478	0.0000000102936928616557	0.0000000401921836154639
Sg_CA40A_55	-3.86297409913745	-2.88758868966723	-4.78341237426809	-2.3447803518591	5.28896313140413	-0.476173020165218	0.272770969895528	0.0000000000795709355173777	0.000000000391845270711185	0.000000685709784557648	0.00000187623840071598
Sg_CA9_20	2.78966135080014	1.17808378133939	4.24329258669444	2.94802677010801	3.30203372326698	0.818179465046258	0.19418409271455	0.0000000000000498920051393149	0.000000000000468869418981878	0.0000000000101570293147266	0.000000000087047603577213
Sg_CB03_44	-5.71536470009906	-5.9985653085717	-5.22280429357879	1.04151733717642	5.4896973960465	0.179580151061361	0.39173275709564	0.0356619326166636	0.0455946641245177	0.0274622624974915	0.0346934806476056
Sg_CD23A_32	1.55882382881998	2.45000093786983	0.880448126415907	-1.40393481504625	3.10204285908833	-0.40920730252547	0.325721154801435	0.0000153636105070159	0.0000343891735714213	0.000145796428411857	0.000259387019239151
Sg_CD24A_10	-1.30951251388503	-0.601367093745139	-2.27094348773634	-1.21069853160106	3.46779031778678	-0.327772129124553	0.357606345374538	0.00199660743838734	0.00312373177455097	0.00155824339467504	0.00238918028449668
Sg_CD25A_53	-4.26173874679154	-3.49292944685416	-5.4913696199965	-1.81200050988106	4.71386451210074	-0.336072133599098	0.331170392649916	0.000482341315889158	0.000821077360830651	0.000265869031733457	0.000452286296593766
Sg_CD26A_19	0.309215204474033	1.13316443118866	-1.33429710947732	-2.71303655992332	3.94872926685016	-0.644259473791916	0.222302333103164	0.00000000372030494141089	0.0000000122078509755205	0.000000000799141683149289	0.00000000416884964811434
Sg_CD30A_34	-0.333994283370095	0.187456520598882	-1.79162038925667	-1.68353165945224	3.55492693115178	-0.441528883578651	0.316105770254814	0.000227875951643139	0.000407115538513575	0.0000430224579013596	0.0000846467896500744
Sg_CE19A_15	1.83574725899662	2.717709160045	-0.331353208294457	-2.38292954971923	3.85324010373699	-0.55239310344107	0.264423078381143	0.00000354851851735879	0.00000870423669556224	0.000000189921828322561	0.000000562536652872894
Sg_CE19A_24	0.617647964258387	1.17405406626233	-0.24457492591958	-1.04382615839058	2.93120530644224	-0.33863418679711	0.346394231585988	0.0013450904337216	0.00218363073170616	0.000857531585576685	0.00137405994557741
