	MAG	Group	RA
119	Sg_B15_35	Young	0.00103191352506327
120	Sg_OA11r1_9	Young	0.00186218099736007
121	Sg_I06_25	Young	0.00160017179503254
122	Sg_OB05r2_38	Young	0.00851793184540749
123	Sg_YB41_11	Young	0.00319351472196629
124	Sg_YB34_1	Young	0.00140453016843038
125	Sg_K14_18	Young	0.00315819594060347
126	Sg_CK05A_46	Young	0.000223408208735009
127	Sg_M07_27	Young	0.000158215073878553
128	Sg_OM21r1_55	Young	0.000106493009121283
129	Sg_B07_53	Young	0.00207108369470075
130	Sg_CK52A_43	Young	0.000194303852897159
131	Sg_E06_10	Young	0.000161823951780413
132	Sg_G18_1	Young	0.000447290860470047
133	Sg_B26_4	Young	0.00013829624563143
134	Sg_CA25_21	Young	0.000677706825648109
135	Sg_K40_4	Young	0.000527611727048742
136	Sg_B07_50	Young	0.0000341910070184897
137	Sg_CM32A_26	Young	0.00067809571335305
138	Sg_CM17_7	Young	0.000331814545364606
139	Sg_M07_39	Young	0.000135644031483726
140	Sg_I05_27	Young	0.000934862709417974
