	rab.all	rab.win.C	rab.win.E	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_EA61_27	-0.611888072296975	-0.552777488327313	-0.679901924034005	-0.0812240312263217	2.93065384268674	-0.0234470852799775	0.48914930559816	0.862764214900572	0.897556162233919	0.889472122119094	0.916719774137252
Sg_EB08_12	-4.60647847653935	-5.17831371490435	-3.43946800909441	1.30304298659651	5.60266279643821	0.207869083964654	0.397786458751974	0.0118036411835262	0.0241319338839939	0.0243439185827671	0.0467009473598578
Sg_EB09_7	2.2541193658378	2.39904039245035	1.64742059582828	-0.543824413254928	4.65739584189487	-0.10755461358683	0.457031250169889	0.286378124880632	0.37289431747063	0.284579939194379	0.362268400693505
Sg_EB10_11	-1.14527033985865	-1.09400026959669	-1.31612758090737	-0.514880387377239	4.11889043411016	-0.110542391721764	0.444444444665202	0.145033706619308	0.208268723140158	0.195742452595537	0.26646754040563
Sg_EB13_4	2.67891641937319	2.75272027318875	2.47406490642538	-0.361681816944353	2.97656922549906	-0.114069022310179	0.449652777977394	0.353319477407683	0.441089867537383	0.283036985850667	0.360517148475617
Sg_EB21_10	-1.07882501940903	-1.02814443571189	-1.15597682482821	-0.104565672003346	2.50486446985952	-0.0369033712386913	0.481666305127344	0.945045007526024	0.957906758452849	0.625608412390911	0.702119050217066
Sg_EM03_7	-0.803501280204058	-0.285276534574926	-1.59397031333872	-1.49006479948728	4.61111650919475	-0.302128087098474	0.361762153365206	0.0006251399705873	0.00216658289025465	0.00201504518810227	0.0063275491869031
Sg_EM12_46	-3.44800098628892	-3.15104889340768	-4.08823023960507	-0.975948992233193	3.83715066832999	-0.219695147150625	0.394662617052076	0.00815925103397705	0.0178912037283181	0.0147602387972123	0.0314975781705308
Sg_EM22_6	1.06370852621446	1.05718549271162	1.08916615758351	0.0948377022203983	3.90651410692357	0.0199718561493171	0.488826209633788	0.900622747544377	0.926434880890712	0.813166572748922	0.859622000378794
Sg_EM25_40	0.702247678907591	0.604749367817849	0.78387135449781	0.263955068098454	1.64256104673116	0.149368721760355	0.437717014137176	0.248570342227657	0.330283573627807	0.169394629801033	0.236856759931342
Sg_EM30_38	2.22652578096111	1.96733880533327	2.45046920917525	0.585048819388177	2.61866528385496	0.200613276348436	0.390323280990074	0.0211853524446694	0.0404967094587549	0.0113269405292617	0.0258612810118309
Sg_EM34_4	6.62390107573107	6.97719397088679	6.09768467474707	-1.11105216469264	3.90849129780639	-0.270012305757467	0.378607073623852	0.00375052370437333	0.00954328435815289	0.0040335080323328	0.0110367935490122
Sg_G06_9	-2.03182387251561	-1.7532835419178	-2.14042345924296	-0.328278432233641	6.43820023914834	-0.0477062751166381	0.477326969062874	0.38842526166236	0.474172482878988	0.505691690783902	0.584974682809837
Sg_G09_4	1.95512043145068	2.71690450149889	1.08437414419116	-1.7856646346749	3.91606241325356	-0.422167238232278	0.314236111956905	0.00000782009835312871	0.0000714648155887045	0.0000161336395448015	0.000155974056546397
Sg_G10_35	-2.17322419429089	-2.515362636997	-1.40268261816551	0.893444273062618	3.81184901720274	0.218405909062485	0.389973958787113	0.00691770364957079	0.015831535765251	0.012578606472949	0.0278452341437464
Sg_G18_19	2.19467169558497	2.60130037738345	1.67993790907507	-0.849324409770004	1.80658354294511	-0.426337323183144	0.308810764767725	0.00000163658525934385	0.0000204157377998916	0.0000129116281609455	0.000135654279746295
Sg_G19_41	-0.118069603792444	-0.548649639385305	0.381103736381847	0.767381539426073	2.70847326826837	0.251488411102745	0.38237847271088	0.0141870057874886	0.0290161155463524	0.00581023572186098	0.0150195259270512
Sg_G21_58	-1.36523291853489	-1.68168209786916	-0.977971913560835	0.644142166282327	3.5692314790285	0.161751307135415	0.427641571129587	0.247777954932671	0.327524090598932	0.0841721309828135	0.135314836004675
Sg_G22_16	1.1380404137589	1.542131589284	0.188810579120521	-1.05962248792672	3.99927438963198	-0.24501819053457	0.394011716642762	0.016287991311813	0.0326490021726308	0.0166406323557691	0.0347695201178007
Sg_G26_10	0.882306426684321	1.84368767081676	-0.10159355894699	-1.88951102639046	5.46043042130822	-0.320595326697212	0.361683662987215	0.00186626960873882	0.00544953816963653	0.00148062977344398	0.00499590226820235
Sg_G26_22	-1.25021374267861	-1.03810589826942	-1.9774546804843	-0.781135190894976	3.78341035515291	-0.183704472605991	0.411892361467978	0.0273791995761775	0.0496632213447891	0.0462313589027612	0.0810205805851828
Sg_G29_33	-2.46291736320702	-2.3489419300064	-2.58422579454943	-0.614384704689122	4.22435967749173	-0.13869881694798	0.434678819705254	0.0480809205633092	0.0793480722670873	0.145247531268987	0.209378747152073
Sg_G33_7	-0.241513682781995	0.155670401737523	-0.55464818294842	-0.746326463256018	2.76333281106585	-0.255775927635378	0.392492949021048	0.00955769094683863	0.0208144315577878	0.0123791260345775	0.0276890810668294
Sg_G39_28	3.07029079909536	3.15495337857019	2.57604481329064	-0.918343073377461	6.00808595462615	-0.147573133300177	0.436631944697197	0.0596146320506022	0.0955738911463188	0.130978965259694	0.193327637469925
Sg_G43_29	-1.91238588826819	-1.68610335881733	-2.5685490130704	-0.895451692957082	3.273927126239	-0.255169172941804	0.38433159770184	0.00283271710798898	0.0075590221234528	0.00904379783417339	0.0215343370448707
Sg_G47_17	-1.55062488064848	-1.87463509275308	-1.05642469243685	0.852800762327913	3.60911544609361	0.213531817957892	0.390106314186981	0.0152742300054883	0.0308634394192688	0.0139227839433381	0.0301912475277677
Sg_H04_45	1.40647293039466	1.15778754574605	1.58650367254134	0.402208275268445	3.7985970787399	0.096273634442037	0.450303819641428	0.563193232329241	0.639234103947652	0.299484489952384	0.377221911246883
Sg_I05_27	2.50542722147119	3.82855506780954	1.28160656367434	-2.20570552325536	4.44226087380297	-0.487364235583113	0.296593622132145	0.00000109803293412658	0.0000165649326415439	0.00000399007197703979	0.0000643607332534624
Sg_I06_25	-0.542981700869144	-1.03410326264673	0.291618474148003	1.45316957752248	3.12335760024947	0.422774330430911	0.307224995464105	0.000010886136991053	0.0000913389089741237	0.0000136250969312594	0.000140544560655371
Sg_I07_11	3.67450925648235	3.94566140952137	3.14259221802337	-1.61964512054604	4.54724987057329	-0.336053738775768	0.357421875609088	0.000853377623060662	0.00283055610204081	0.00116917814765782	0.00418037760204124
Sg_I12_32	1.3960913495819	1.5780806330907	1.10730915955807	-0.214979466142228	1.5028485245303	-0.130148369218402	0.436971143666305	0.368565549175024	0.455240368103211	0.14726310816673	0.212115977414355
Sg_I12_44	0.680275030867438	1.23875798170984	-0.0487000122018015	-1.51483074585289	4.56708193998044	-0.318656409083472	0.361762153365206	0.000447619441944565	0.00164654298940438	0.00147143973736422	0.00497548799049942
Sg_I12_6	-0.697250543530122	-0.65719760763974	-0.893770842980936	-0.50790388775765	3.4430953108183	-0.142564666465814	0.438923844894992	0.188253399722553	0.261049034803945	0.207344956208461	0.27915687530901
Sg_K01_5	-1.40146779942149	-1.24703627258459	-1.75988637832193	-0.541253164908396	3.45857618338884	-0.144606203012933	0.432631807602642	0.0643723193555503	0.102119041021869	0.144318635342751	0.208455339356226
Sg_K09_1	-0.948788522655702	-1.36832744713492	-0.576862574604763	1.02433149792996	2.83562001235587	0.338848098928532	0.332031250743065	0.000123809448536704	0.000580214231176319	0.000301013042980953	0.00143197608762845
Sg_K09_61	0.725903892245441	1.00060565894408	0.219731310989205	-0.640084485129019	3.68843739510038	-0.155274806002823	0.428726405145454	0.136396874977253	0.198326904401879	0.112924631272185	0.172645199758632
Sg_K10_28	-2.53591240733055	-3.31922298406542	-1.91185286059207	0.893950291519292	6.52462007247006	0.126157156638486	0.446734649809963	0.261395450944127	0.340679184264055	0.2384157800167	0.312695662017343
Sg_K14_18	-1.91838877340172	-2.33095346312072	-0.65181893069958	1.61445614486354	4.79260474133809	0.31437728115066	0.349099588414358	0.000547833703711323	0.00193723205678843	0.000635930609809736	0.00258269419288651
Sg_K15_44	1.14196283917527	0.409576865736691	2.45301455075805	1.86724416951686	3.67801252592624	0.482992698941122	0.296223959292363	0.00000127207280257866	0.0000179192625255211	0.00000340527815007342	0.0000586967328110372
Sg_K16_50	-2.34919040851109	-3.80976592910679	-0.936669967932577	2.63534242249746	6.76039985451973	0.367629884878258	0.338107639598659	0.000192299894534671	0.000794013370681549	0.000257782233145042	0.00126581502112106
Sg_K16_53	2.3732789088749	2.45961367257044	2.33191705128851	-0.17111372391552	3.58970251071763	-0.0434409311284638	0.481987847293004	0.699390837783654	0.766061953573833	0.73230184554432	0.794574084855916
Sg_K17_22	-0.900680963765466	-0.332939350987395	-1.53141860286374	-1.53825656471345	2.97112478560982	-0.492825919898112	0.279730903850413	0.0000000645425590080528	0.00000778263053724466	0.000000555385127950215	0.0000229033268905017
Sg_K22_66	0.619610182933011	0.622401238334209	0.599811320659634	-0.0115654003996708	1.69396837940223	-0.00646377224934581	0.496744791679442	0.679696482890022	0.747256589909231	0.916735105222154	0.93621512981403
Sg_K22_8	-0.859602109412733	-1.05422581055095	-0.647445377047954	0.967572346765102	3.29059229990476	0.27666855384241	0.378906250504855	0.00128155623731805	0.00403567369881501	0.00582564863146455	0.0150471981178035
Sg_K31_45	-4.27724716159065	-4.04378555030906	-4.60417271026599	-0.345548854649942	3.87422689816037	-0.0737800728924765	0.457582989970164	0.338716152045849	0.424885544231769	0.30913609259995	0.386069641017139
Sg_K32_30	-3.53280924742618	-3.03770012303948	-4.03446792507481	-1.13318092236211	5.35550398785377	-0.168998637273941	0.407986111484886	0.0247424849530456	0.0448476784618718	0.0310697011178372	0.0572535493565584
Sg_K34_1	-0.160071238323353	0.33972307618244	-0.429011556101768	-0.646331412378593	3.08263241174834	-0.172563168369536	0.392492949021048	0.00150745005209555	0.00465159524686748	0.0118517767480234	0.0267389420681917
Sg_K36_16	2.10192554593432	0.920838058594115	4.11771099351649	2.76957603870503	5.57210714360947	0.48584151230202	0.303168403691926	0.00000244260937656668	0.0000268518418339597	0.00000907105424411214	0.000109131530548551
Sg_K36_17	2.35758970822299	2.37257034932282	2.35758970822299	-0.033577631756748	4.49904737879484	-0.00638781261315006	0.496637014549969	0.761965312159411	0.821692002593755	0.956965692329615	0.966056435642329
Sg_K36_27	1.00078213414476	0.61585509256074	1.99501520180416	1.1334430495098	3.80609493998543	0.27549322327352	0.37231503633536	0.0020906103482629	0.00596184749499694	0.00360288150885332	0.0100300493537854
Sg_K36_29	2.46924338499296	1.69254657536806	3.42559763692535	1.43766740890122	3.80696822212437	0.351976739868084	0.341505750311516	0.000413912715113151	0.00153957265578117	0.000473667291925934	0.00205776491984668
