	rab.all	rab.win.C	rab.win.L	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_B15_35	-1.94043795919024	-2.42400479060859	-1.16876693528229	1.44863893510968	3.66589564906219	0.378133647487754	0.330089629730933	0.000128616123192802	0.000876061335842423	0.000138808903522276	0.00104692028142191
Sg_B15_52	-1.70201560243729	-1.37965303795537	-2.27142853152497	-0.427083410221262	5.23183961114249	-0.0770971797256376	0.465163934617629	0.815306300633743	0.861084643476854	0.396956840741703	0.514923974141736
Sg_B19_58	-1.29668598470857	-0.927942642936138	-2.14665756571165	-1.0032492456459	3.96519752445367	-0.240340081580988	0.385245902301665	0.0155470894435228	0.0396086067910512	0.0147169543679802	0.0371851171904504
Sg_B25_10	-1.51099037240664	-1.86218353160879	-1.1550883583098	0.772418218801191	3.59087971476085	0.196575833477189	0.401639344821745	0.00874165445123411	0.0250482268065703	0.0358585711851915	0.0764264684101958
Sg_B25_38	0.255604923476695	0.544593115423425	-0.00411373029074102	-0.115221412222721	3.65389797556951	-0.0299163901937756	0.486680327941732	0.84728841194247	0.883804869307885	0.719007261942989	0.792216871783718
Sg_B27_18	0.171213856335985	-0.303356606787315	0.390022946940371	0.583984293029697	2.71654665719487	0.199075873955385	0.409218950577035	0.081522014379484	0.14681645756834	0.0350191844538496	0.0752399580525138
Sg_B27_6	-1.1028365147146	-1.23629860901961	-0.901926350456941	0.432617842695887	4.23164341982388	0.0977332474371366	0.457618438133412	0.376071847584192	0.49812600677879	0.3394710889061	0.457461543337132
Sg_C03_36	-0.232646037059403	-0.0778199348799555	-0.834151710362706	-0.19920349262136	3.83187989671971	-0.0481225496897014	0.478483606675239	0.920304124532512	0.933946636439499	0.588169551096422	0.685539307460705
Sg_CA11_3	2.89051981456438	2.26359461356558	3.68254850887613	1.437199985964	3.84438741692306	0.340683375435945	0.348783611665008	0.00205381627062983	0.00805536409474454	0.00107727412743616	0.00536453817310211
Sg_CA11_52	0.182619227709378	0.0127975952842068	0.74006796061374	1.07090432779342	6.07005075779847	0.17927855416188	0.42791293254059	0.033121016593113	0.0736937010045082	0.0930925079481683	0.170065584310957
Sg_CA13_9	0.548359417429635	0.545531215819553	0.565686882042788	-0.0600593098828393	3.20995233905133	-0.0197652681042793	0.490909090958788	0.799550857116001	0.850398877924169	0.90117529488641	0.937207818953438
Sg_CA25_14	-1.36209185577771	-0.0738051241593807	-1.95756935073428	-1.73366313066047	4.67481349991147	-0.364351651973811	0.320358515851928	0.0000121301747788399	0.000127409334792961	0.000167924548329463	0.00120442036329778
Sg_CA25_21	1.4720686119293	1.98631940560872	0.290158621439114	-1.27926157491724	3.32277225440281	-0.349803284599286	0.347079918955176	0.000184818637815945	0.00118732746986847	0.000681724362721958	0.00390385646668297
Sg_CA40A_55	-3.65278680682697	-2.88458946835148	-4.48419736811924	-1.95424555476768	5.9244652062868	-0.344381541645341	0.320614597796069	0.0000000830517053056302	0.00000215462864953802	0.0000619228577355135	0.000550494373733722
Sg_CA9_20	1.55037785699421	1.17445824132004	2.21958128520664	0.887784239385835	3.16045289991072	0.241561695024325	0.387295082616428	0.0427127389854821	0.0907664172837415	0.0184740764177565	0.0440460891261687
Sg_CB03_44	-6.04862811938284	-6.01610974308028	-6.12112755875315	-0.0396085916949804	5.09045643637374	-0.00526270288435943	0.496542893744885	0.708327759905827	0.780505899973458	0.805632782606512	0.85732958936401
Sg_CD23A_32	2.30345415704286	2.45327395726955	1.87996228428305	-0.500728901335491	3.75235445440336	-0.125318437859652	0.44057377082138	0.169223334747673	0.26981828769965	0.152338790851461	0.245768374987962
Sg_CD24A_10	-0.575807624940412	-0.607179694607217	-0.404579841560373	0.147027527054238	3.66067245737078	0.0369641589523463	0.484631147625094	0.777990574825043	0.835043113218331	0.828788561314654	0.880896608454891
Sg_CD25A_53	-3.45919329695788	-3.50020093582075	-3.24042112778249	0.30515385199547	5.03323985153108	0.056703841132492	0.474007682600815	0.587081151879609	0.689920235733578	0.496467323786821	0.604857194615314
Sg_CD26A_19	0.869562116546912	1.13542187215168	0.191000226820473	-0.932672585079353	3.2103621867926	-0.281559723320356	0.380025608890317	0.00574186434601099	0.018372274245524	0.011768119450105	0.0315065048537949
Sg_CD30A_34	0.0259859680695955	0.179778185879828	-0.390375461055042	-0.543779428893197	3.23482001560506	-0.161906773498524	0.433145492175468	0.111019390426774	0.188037089438436	0.120782281586731	0.206238800203652
Sg_CE19A_15	2.38618112483922	2.71871237528828	2.10470072756475	-0.326302821152754	3.30623434547016	-0.0898348009944177	0.458504098589114	0.646568217372529	0.745491634239741	0.372931334588124	0.492133638078902
Sg_CE19A_24	0.857206733992335	1.17177034585561	0.417484807775887	-0.445633542205137	3.20679016509339	-0.121950037422829	0.442879098677102	0.710343323208631	0.787479039366998	0.206715577788966	0.31796762712685
Sg_CE19A_29	-0.305313727574783	-0.0184565718997574	-1.02281369474892	-0.990396048595281	3.56871049325502	-0.253654683346882	0.38780737769513	0.00690829990932781	0.0210055416411748	0.0107005351819802	0.0292861867913358
