	MAG	Group	RA
60	Sg_B07_50	Elderly	0.000687342814830393
61	Sg_K40_4	Elderly	0.0020061436609256
62	Sg_CA25_21	Elderly	0.00149717013330673
63	Sg_G18_1	Elderly	0.00182211497736354
64	Sg_B26_4	Elderly	0.000333546283919585
65	Sg_CM17_7	Elderly	0.00157033503401704
66	Sg_G09_4	Elderly	0.0042722052805454
67	Sg_CM32A_26	Elderly	0.00220063450399421
68	Sg_G18_19	Elderly	0.00108410441555372
69	Sg_M07_39	Elderly	0.000632581484634641
70	Sg_I05_27	Elderly	0.00590822722877982
71	Sg_A27_31	Offspring	0.00723308562954586
72	Sg_B04_2	Offspring	0.00472402104603137
73	Sg_D18_45	Offspring	0.00199156788942337
74	Sg_M12_6	Offspring	0.00892166919548653
75	Sg_A11_10	Offspring	0.00229387261570366
76	Sg_YB37_28	Offspring	0.00161625619050893
77	Sg_OB03r2_39	Offspring	0.0010247662790631
78	Sg_OB24r1_18	Offspring	0.0129779031124458
79	Gp_MJ4_197	Offspring	0.000700324917080025
80	Gp_NH_148	Offspring	0.000431312165946896
81	Sg_K36_16	Offspring	0.0166418105371182
82	Sg_K15_44	Offspring	0.00352290758071452
83	Sg_M02_5	Offspring	0.0011839080532169
84	Sg_P27_36	Offspring	0.0012918065407551
85	Sg_OA11r1_9	Offspring	0.000928727591483977
86	Sg_Z17_26	Offspring	0.000913030553662537
87	Sg_CM33A_60	Offspring	0.000445185894200904
88	Sg_M07_27	Offspring	0.0000330184787120486
89	Sg_OM21r1_55	Offspring	0.000645857687638362
90	Sg_B07_53	Offspring	0.00413344278936926
91	Sg_K36_3	Offspring	0.000487320920750115
92	Sg_E06_10	Offspring	0.00313349838373552
93	Sg_Z03_24	Offspring	0.00377476464637226
94	Sg_CK52A_43	Offspring	0.000198475534185778
95	Sg_B07_50	Offspring	0.0000709847565684478
96	Sg_K40_4	Offspring	0.000893811213267647
97	Sg_CA25_21	Offspring	0.000817704614368866
98	Sg_G18_1	Offspring	0.00223208728467999
99	Sg_B26_4	Offspring	0.00071566558075874
100	Sg_CM17_7	Offspring	0.000678254583543332
101	Sg_G09_4	Offspring	0.00289190157827997
102	Sg_CM32A_26	Offspring	0.00118926195312855
103	Sg_G18_19	Offspring	0.00140650100031736
104	Sg_M07_39	Offspring	0.000390204822972056
105	Sg_I05_27	Offspring	0.00240122411037162
106	Sg_A27_31	Young	0.0145482812641215
107	Sg_B04_2	Young	0.0188132827240059
108	Sg_D18_45	Young	0.00795080134978256
109	Sg_M12_6	Young	0.0174975278408597
110	Sg_A11_10	Young	0.00260037541663484
111	Sg_YB37_28	Young	0.00317053145860423
112	Sg_OB03r2_39	Young	0.00334830758404136
113	Sg_OB24r1_18	Young	0.0205379530288986
114	Gp_MJ4_197	Young	0.00542230015877507
115	Gp_NH_148	Young	0.000680475706107295
116	Sg_K36_16	Young	0.061356796535975
117	Sg_K15_44	Young	0.0108488780823045
118	Sg_M02_5	Young	0.00230352187594451
119	Sg_P27_36	Young	0.0057251970144002
120	Sg_OA11r1_9	Young	0.00186218099736007
121	Sg_Z17_26	Young	0.000804087552000119
122	Sg_CM33A_60	Young	0.000160206178927855
123	Sg_M07_27	Young	0.000158215073878553
124	Sg_OM21r1_55	Young	0.000106493009121283
