	rab.all	rab.win.E	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_B07_38	-1.07032789731027	-0.785565529749823	-1.25608427148585	-0.326425092836631	2.28785055473548	-0.126215778654994	0.438221154148255	0.167994608499802	0.553282586768223	0.254256950805883	0.718824909817633
Sg_B07_50	-3.34666567655773	-3.023770453704	-3.60451043614712	-0.868006772232607	2.92319892271523	-0.259458425599693	0.371153846818423	0.00195531269974083	0.020706643670998	0.0116203103348957	0.0741729649643283
Sg_B07_53	0.0301067745140795	0.514804566537306	-0.983193906339289	-1.38474841090599	5.0842153845262	-0.259426260523783	0.381639029683048	0.0120363638309904	0.0713056725513234	0.0184224855567407	0.104927961507782
Sg_B07_62	-3.80685910831103	-3.01023614845092	-4.47987319922836	-1.13392944054585	4.19206375350179	-0.248901232548581	0.383173077518131	0.0331072960878988	0.157720176112418	0.0181493888173963	0.101623185602334
Sg_B08_36	0.115220851646675	0.0315571070806779	0.188719810550023	0.29295033789784	2.88724238713213	0.0856002563842448	0.455659697403281	0.297531501213416	0.866088679832454	0.377818218253435	0.985984854316357
Sg_B14_1	-2.65601772398662	-1.91024266361406	-3.16531728662559	-0.883110746836911	4.88426835291337	-0.175585448675013	0.411298077364092	0.137185999745003	0.473241408709271	0.0720112176164135	0.267623485483925
Sg_B14_13	0.235300653367935	0.857284818538322	-0.749858326164117	-1.61872070088014	4.13457195722142	-0.349251052036341	0.345590003224806	0.00222674648661174	0.0239291508470301	0.00143928017322603	0.0194393773315599
Sg_B15_22	-0.460243243984814	-1.13959531550884	-0.0535212522074895	1.55070334437662	4.42878152760942	0.327256833112687	0.356645038002438	0.00292180953162284	0.0176768401608477	0.00402623306186939	0.0214553569294764
Sg_B15_23	1.57438141738726	1.979304924033	1.2783441794324	-0.592912628285221	3.67478202188858	-0.143571974200875	0.433173077250728	0.298316282208045	0.808799202814363	0.163820444269516	0.514930388712613
Sg_B15_35	-0.310980237435047	-0.464362161830154	-0.194285238961918	0.20905295489735	4.14612803622299	0.0457610122545255	0.477048786460134	0.91844799029877	1	0.608046084518568	1
Sg_B15_52	-0.827887801720105	-0.805379493820594	-0.849418784341577	-0.319171744054477	5.30142449104029	-0.0545551918843988	0.474278846278032	0.596544405061504	1	0.645057081504049	1
Sg_B19_58	-2.68629326819833	-2.38423163304629	-3.06954620827337	-0.534875741648945	2.99882221394243	-0.151171894766192	0.407113675060503	0.419684339399092	0.960037696249329	0.0543206970650328	0.21745050684979
Sg_B25_10	-0.981730989940314	-1.31495964751234	-0.527160613110421	0.69450157633992	2.71253229810566	0.211297325840349	0.392307692851501	0.300116232400271	0.87842560164856	0.0333580814648366	0.12142227165634
Sg_B25_38	-0.582048935684131	-0.203031897690822	-1.10629878818338	-1.01595266489564	3.28667597141359	-0.271051034440354	0.358173077665788	0.0488553785676008	0.218049399339453	0.00461907391586258	0.0378971592308752
Sg_B27_18	0.576743672601373	0.382562938566057	0.668785399960731	0.181615706638556	2.71241524788218	0.0637325134063011	0.466234078509814	0.876450959894808	1	0.495558377088096	1
Sg_B27_6	0.256010195224953	0.243558413656871	0.306454802506499	-0.0430929858272524	3.75683823204259	-0.0119113090259955	0.49447115387278	0.717495310934671	1	0.957613672421047	1
Sg_C03_36	-1.00241710197683	-0.475047943682251	-1.51527451206878	-0.705850814091236	3.46751581678496	-0.18306807350419	0.403989426098639	0.285873700520359	0.786420114580333	0.0495311299724256	0.204308838192209
Sg_CA11_3	3.07033003295492	3.07832603252156	3.05193802785918	0.343451574487098	3.49293652151175	0.0938470517677744	0.459024273209849	0.198114306739719	0.632027295015533	0.360958740527491	0.98293772510984
Sg_CA11_52	2.00806479731964	1.06830954945924	2.93927242102417	2.1522026151166	4.90196752292936	0.416341423476742	0.319711539459442	0.000152945226827822	0.00270689603592047	0.0002508549286852	0.00351945022333126
Sg_CA13_9	0.495475136028456	0.442081359106868	0.645306707572431	0.183974825380846	2.95560330030365	0.0596066940468995	0.471521269063256	0.521657486585131	0.999546803131968	0.647605462439411	1
