"","D06","G22","G29","G31","G43","H03","H05","I02","I04","I06","I14","M08","M20","P02","P14","P23","X02","Y07","Y09","Y19","Z10","B02","B08","B09","B13","B15","B19","B23","B25","A12","A20","A22","A24","C04","C14","E04","E06","E07","G27","G37","G39","K15","K27","M02","M14","P27","X04","Z06","Z07","OA11r1","OA13r1","OA7r2","OA9r1","OB03r2","OB05r2","OB18r1","OB24r1","OM15r2","OM17r2","OM21r1","OG24B2A","zero_counts","sample_percent"
"Sg_CK05A_46",0.000181493891896374,0.00176792239543626,0.000910502783580414,0.000439326440272837,0.0000879663988578524,0.000123860734023988,0.00283666358615753,0.00164203944534658,0.00357982799030145,0.000116782977794045,0.000102627465334161,0.000865508476118639,0.000438315332239988,0.000113749653695499,0.000320521246413094,0.00180735560871737,0.000253282562228644,0.000462581925028362,0.000106166343449132,0.000270976952803499,0.000597059293397262,0.000191099418208438,0.00302978522043166,0.000348326717316438,0.0000889775068907012,0.000269460290754226,0.000247721468047975,0.000110716329596952,0.0000601609279545082,0.000147621772795936,0.00604339271233774,0.0000131444044270354,0.00108138004113187,0.000104144127383434,0.000178966121814251,0.00009908858721919,0.000243171481900155,0.000228510415423846,0.000208288254766869,0.000203738268619049,0.000116277423777621,0.000159755069190123,0.000213849348947538,0.000129421828204656,0.000123355180007563,0.000265921412639255,0.000271482506819924,0.000177955013781402,0.000563187174296825,0.00013548847640175,0.000494431828063101,0.00034731560928359,0.000198682728454804,0.000199693836487653,0.0000727997783651192,0.000392815470761789,0.00000404443213139551,0.000299793531739692,0.000163799501321518,0.000458537492896966,0.000109705221564103,0,1
"Sg_CK52A_43",0.000028816578936193,0.000547009445771243,0.000229015969440271,0.000365009999858445,0.00000303332409854663,0.0000323554570511641,0.000445393088469931,0.000100605249268463,0.000931230498253816,0.0000894830609071257,0.000000505554016424439,0.0000808886426279102,0.000139027354516721,0.0000854386287757302,0.0000454998614781995,0.000911513891613263,0.0000439831994289262,0.000308387950018908,0.0000111221883613377,0.00000353887811497107,0.000473198559373275,0.0000242665927883731,0.000283110249197686,0.0000849330747593057,0.00000101110803284888,0.0000308387950018908,0.000133466260336052,0.0000778553185293636,0.00000505554016424439,0.000112232991646225,0.000629414750448426,0,0.000448931966584902,0.0000535887257409905,0.000036905443198984,0,0.000086449736808579,0.0000136499584434599,0.000244182589933004,0.000751253268406716,0.000165821717387216,0.0000778553185293636,0.0000237610387719486,0.000016177728525582,0.0000181999445912798,0.000033366565084013,0.0000171888365584309,0.0000136499584434599,0.000622336994218484,0.0000586442659052349,0.000795742021852067,0.000776025415211514,0.0000187054986077042,0.0000444887534453506,0.00000556109418066883,0.00132657373909773,0.00000252777008212219,0.0000121332963941865,0.0000525776177081416,0.000118299639843319,0.0000151666204927332,2,0.967213
"Sg_CM17_7",0.000281088033131988,0.00303989630076015,0.000768442104965147,0.000193121634274136,0.0000652164681187526,0.00027451583091847,0.00457475829462475,0.00112890211867577,0.00671577955418225,0.000108694113531254,0.00000202221606569776,0.000392815470761789,0.00052274285298287,0.000311926828133879,0.000453481952732722,0.00173101695223728,0.000101110803284888,0.000606664819709327,0.0000409498753303795,0.0000409498753303795,0.000782597617425031,0.000302321301821814,0.00240441490211463,0.000587453767085198,0.0000171888365584309,0.0000657220221351771,0.000303332409854663,0.000121332963941865,0.0000449943074617751,0.000787653157589276,0.000952969320960067,0.00000353887811497107,0.000561670512247552,0.000402420997073853,0.00017542724369928,0.00000353887811497107,0.00039180436272894,0.000201210498536927,0.000860452935954395,0.0029291799711632,0.000164305055337943,0.000171382811567885,0.000128410720171807,0.000114760761728348,0.000155710637058727,0.000188066094109891,0.000180482783863525,0.000219915997144631,0.00177297793560051,0.000336193420922252,0.000731536661766163,0.00142262900221837,0.000275526938951319,0.000215366010996811,0.000101110803284888,0.00099998584448754,0.0000090999722956399,0.000176438351732129,0.000163293947305094,0.000537403919459178,0.0000556109418066883,0,1
"Sg_CM32A_26",0.000504037354375166,0.000877641772512826,0.0139457075430681,0.000855397395790151,0.000587453767085198,0.00017542724369928,0.00273251945877409,0.0017087725755146,0.00562529954075473,0.000203738268619049,0.0000480276315603217,0.00205254930668322,0.000597564847413687,0.000383209944449725,0.00119512969482737,0.002639497519752,0.000339732299037223,0.00138774577508508,0.000305860179936785,0.000843769653412389,0.00198733283856447,0.000488870733882432,0.00228611526227131,0.000904436135383321,0.00033821563698795,0.000647614695039706,0.000650142465121828,0.000491904057980979,0.000128410720171807,0.0005854315510195,0.00145650112131881,0.0000647109141023282,0.00102273577522664,0.000885225082759193,0.000892302838989135,0.0000849330747593057,0.000532348379294934,0.000124366288040412,0.000759847686685932,0.00103588017965368,0.00026086587247501,0.00103739684170295,0.00111676882228159,0.000607170373725751,0.00027906581706629,0.000508081786506561,0.000569759376510343,0.000402420997073853,0.00617888118873949,0.000529315055196388,0.00130230714630935,0.00102020800514452,0.000549537215853365,0.000744175512176774,0.000311926828133879,0.000724458905536221,0.00011728853181047,0.000414048739451615,0.000596553739380838,0.00260562540065156,0.00029271577550975,0,1
"Sg_D18_45",0.000102121911317737,0.0000090999722956399,0.0000379165512318329,0.00116479645384191,0.0000146610664763087,0.000595037077331565,0.000115266315744772,0.0000353887811497107,0.0000171888365584309,0.00490336840530063,0.00000202221606569776,0.0000717886703322703,0.00104750792203144,0.0000298276869690419,0.000127399612138959,0.0000980774791863411,0.000020727714673402,0.0000353887811497107,0.0000566220498395372,0.000722436689470523,0.000251765900179371,0.000542965013639847,0.00103486907162083,0.000424159819780104,0.0000505554016424439,0.0000647109141023282,0.00193778854495487,0.00118653527654816,0.0000626886980366304,0.00297720760272352,0.000109705221564103,0.0000404443213139551,0.00210007138422712,0.00359297239472849,0.00844275207428813,0.0000101110803284888,0.00158491184149062,0.00310612387691175,0.00053184282527851,0.00148380103820573,0.000221938213210329,0.00188723314331243,0.00965810392977248,0.0081525640688605,0.0000394332132811062,0.00136246807426386,0.00000960552631206434,0.000299793531739692,0.00123810178622345,0.0021410212595575,0.000514148434703654,0.00219915997144631,0.00388265484613969,0.00274161943106973,0.00221078771382407,0.00258135880786318,0.000150655096894483,0.0313428323562659,0.00763588786407473,0.00437455890412067,0.00009908858721919,0,1
"Sg_E06_10",0.0000722942243486948,0.000395343240843911,0.000293726883542599,0.000245699251982277,0.0000176943905748554,0.0000586442659052349,0.001783089015929,0.150986740329257,0.00320268469404882,0.0000556109418066883,0.00000202221606569776,0.00026086587247501,0.000185538324027769,0.0000510609556588683,0.000196660512389107,0.000476231883471821,0.0000631942520530549,0.0064458137094116,0.0000217388227062509,0.0000545998337738394,0.000915052769728234,0.000285638019279808,0.000611720359873571,0.000658231329384619,0.0000242665927883731,0.000121332963941865,0.000123860734023988,0.0000449943074617751,0.0000232554847555242,0.000145094002713814,0.00142717898836619,0.00000252777008212219,0.000325576786577339,0.000132455152303203,0.0000465109695110484,0.00000202221606569776,0.0131656376957252,0.0000227499307390997,0.000271988060836348,0.000123860734023988,0.0000940330470549456,0.00014003846254957,0.000100605249268463,0.0000475220775438973,0.0000181999445912798,0.000782092063408607,0.000150149542878058,0.0000970663711534923,0.000361976675759898,0.000105660789432708,0.00409043754689014,0.000582398226920954,0.0000687553462337237,0.000146610664763087,0.0000465109695110484,0.00020727714673402,0.00000202221606569776,0.0000328610110675885,0.000138521800500296,0.000448426412568477,0.000139027354516721,0,1
"Sg_G18_1",0.000653175789220375,0.00520164527499105,0.00000960552631206434,0.000041455429346804,0.013896668803475,0.000212332686898264,0.00247519246441405,0.00435787562157866,0.00398882118958882,0.00000353887811497107,0.00000202221606569776,0,0.00276740268590738,0.00152373980550326,0.00781434843187255,0.0144689559500674,0.00034276562313577,0.00982139787707757,0.0050909289453941,0.00000252777008212219,0.00176337240928844,0.00183617218765356,0.00253687005441783,0.00522843963786155,0.000162788393288669,0.000233060401571666,0.000563692728313249,0.000206771592717596,0.0000379165512318329,0.00000758331024636658,0.00326689005413472,0.0000247721468047975,0.00411975967984275,0.00000353887811497107,0.000596048185364413,0.000016177728525582,0.00107430228490193,0.00000454998614781995,0.00178258346191257,0.00230583186891187,0.00143425674459613,0.0000187054986077042,0.0000313443490183152,0.000597059293397262,0.00000657220221351771,0.0260557484524992,0.00497060708948508,0.00000252777008212219,0.00181595002699658,0.00000758331024636658,0.00131545155073639,0.00083820855923172,0.000261371426491435,0.000179471675830676,0.0000262888088540708,0.0000227499307390997,0.00000303332409854663,0.00000404443213139551,0.00000404443213139551,0.000111221883613377,0.00000556109418066883,1,0.983607
"Sg_I05_27",0.00162232283870602,0.0185447324304813,0.00145801778336808,0.000579364902822407,0.00122495738179642,0.000262382534524284,0.0136625972938705,0.00162990614895239,0.0376971407887047,0.000321532354445943,0.00013548847640175,0.00134629034573828,0.000688059016353661,0.00106671897465557,0.0005854315510195,0.010641406491718,0.000388265484613969,0.00134831256180398,0.000117794085826894,0.00071182005512561,0.00588363764314762,0.0002254770913253,0.0112789101064292,0.000959035969157161,0.000419609833632284,0.000397365456909609,0.000768947658981572,0.000289682451411203,0.00089634727112053,0.00289480229804634,0.00201261053938569,0.000133466260336052,0.00113294655080717,0.000244182589933004,0.00016632727140364,0.000232049293538817,0.000832647465051051,0.000384221052482574,0.00378204959687123,0.000693114556517906,0.000152677312960181,0.000298782423706843,0.000238115941735911,0.000194132742306985,0.000132960706319627,0.000306871287969634,0.000509598448555834,0.000407476537238098,0.00686744575910958,0.000915052769728234,0.000993413642274022,0.00141656235402128,0.000175932797715705,0.00029271577550975,0.000424665373796529,0.00269258069147656,0.000615764792004967,0.00018452721599492,0.000252271454195795,0.00166883380821707,0.0000743164404143925,0,1
"Sg_I06_25",0.0000106166343449132,0.0000222443767226753,0.0000465109695110484,0.000417082063550162,0.0000773497645129392,0.0000601609279545082,0.000212332686898264,0.0000454998614781995,0.0000672386841844504,0.0148966546479625,0.0000965608171370678,0.0000338721191004374,0.000548526107820516,0.0000808886426279102,0.000128916274188232,0.000033366565084013,0.0000404443213139551,0.0000535887257409905,0.00000657220221351771,0.0124735342472402,0.0000874608448414279,0.000799786453983462,0.000112232991646225,0.000127905166155383,0.00138976799115078,0.000898875041202652,0.000448931966584902,0.000542965013639847,0.000164810609354367,0.00129118495794802,0.000470165235274728,0.000111727437629801,0.000137005138451023,0.000241654819850882,0.000356921135595654,0.000456515276831268,0.000294737991575448,0.0000980774791863411,0.00123759623220703,0.00106621342063914,0.000621325886185635,0.000235588171653789,0.0038022717575282,0.0022112932678405,0.000131949598286779,0.000627392534382729,0.000148127326812361,0.000366526661907718,0.000177955013781402,0.00187054986077042,0.000817480844558318,0.000871069570299308,0.00262989199343993,0.000727997783651192,0.000525270623064992,0.0001799772298471,0.00050454290839159,0.00140746238172564,0.00127096279729104,0.00113648542892214,0.000169866149518611,0,1
"Sg_K14_18",0.000252271454195795,0.00000758331024636658,0.00000606664819709327,0.00246811470818411,0.00000758331024636658,0.000036905443198984,0.00271431951418281,0.000392309916745365,0.0000338721191004374,0.0000399387672975307,0.00000252777008212219,0.0000454998614781995,0.0000803830886114858,0.0000090999722956399,0.00402420997073853,0.000841241883330266,0.000133466260336052,0.00043730422420714,0.00000252777008212219,0.0000753275484472414,0.000997963628421842,0.0127566444964379,0.0037380663974423,0.000646098032990433,0.00017542724369928,0.0000227499307390997,0.00614551462365548,0.00141757346205413,0.00109199667547679,0.00543925566271054,0.000873091786365006,0.000033366565084013,0.0043710200260057,0.0000313443490183152,0.000112232991646225,0.00000707775622994214,0.000719403365371977,0.000016177728525582,0.000854891841773726,0.000240138157801608,0.000128916274188232,0.0632043631333833,0.0000657220221351771,0.000131444044270354,0.0000404443213139551,0.00213343794931113,0.0000222443767226753,0.0000181999445912798,0.00238672051153978,0.00116782977794045,0.00161018954231184,0.00148683436230427,0.000049544293609595,0.020165538607138,0.0000672386841844504,0.00922888856982813,0.000445393088469931,0.000118805193859743,0.000113749653695499,0.00721375026036032,0.000070272008282997,0,1
