"","E11","G33","I09","M18","B27","A02","A28","A33","A37","C02","D02","D10","D18","G02","G47","K43","M04","M16","P15","YA02","YA03","YA04","YA06","YA07","YA10","YA11","YA12","YA13","YA14","YA16","YA19","YA21","YA23","YA26","YA28","YA29","YA30","YA31","YA32","YA33","YA34","YB31","YB32","YB34","YB35","YB36","YB37","YB38","YB39","YB40","YB41","YB43","YB45","YB46","YB47","YB50","YB52","YB54","YB55","YB56","YB57","YB59","Z04","Z12","Z14","zero_counts","sample_percent"
"Sg_CK05A_46",0.00074821994430817,0.000508587340522985,0.000721425581437674,0.000387759930597545,0.00000859441827921546,0.000235082617637364,0.0000591498199216593,0.000261371426491435,0.000618292562087089,0.000153688420993029,0.00011728853181047,0.0000824053046771835,0.0000985830332027656,0.000276538046984168,0.000488365179866008,0.000205760484684747,0.000296760207641146,0.0000465109695110484,0.000207782700750444,0.000259349210425737,0.000154193975009454,0.0000980774791863411,0.000163799501321518,0.0000980774791863411,0.000103133019350586,0.000155205083042303,0.0000758331024636658,0.000104144127383434,0.000233060401571666,0.00000657220221351771,0.000128410720171807,0.0000566220498395372,0.000224971537308875,0.0000692609002501481,0.0000616775900037815,0.000144082894680965,0.0000171888365584309,0.000190593864192013,0.000116782977794045,0.000126894058122534,0.000161271731239396,0.00021637711902966,0.000104144127383434,0.000227499307390997,0.000888258406857739,0.000129421828204656,0.000108694113531254,0.000146610664763087,0.000208288254766869,0.0000363998891825596,0.000118299639843319,0.000167843933452914,0.000214860456980387,0.0008109086423448,0.0000328610110675885,0.000261371426491435,0.00012183851795829,0.000090999722956399,0.00069362011053433,0.000176438351732129,0.000282099141164837,0.000141555124598843,0.000237104833703062,0.000245699251982277,0.000588970429134471,0,1
"Sg_CK52A_43",0.000773497645129391,0.0000247721468047975,0.000393321024778213,0.0001799772298471,0.00000202221606569776,0.0000465109695110484,0.00000303332409854663,0.0000935274930385212,0.0000237610387719486,0.0000176943905748554,0.0000101110803284888,0.00000353887811497107,0.0000192110526241287,0.00012638850410611,0.00000960552631206434,0.0000257832548376464,0.00458891380708463,0.00000556109418066883,0.00000960552631206434,0.000100099695252039,0.0000743164404143925,0.0000181999445912798,0.000570770484543192,0.0000636998060694793,0.0000131444044270354,0.000033366565084013,0.0000237610387719486,0.00000606664819709327,0.0000308387950018908,0.00000202221606569776,0.0000171888365584309,0.0000262888088540708,0.00000606664819709327,0.00000404443213139551,0.0000146610664763087,0.0000429720913960773,0.00000151666204927332,0.00214253792160677,0.0000197166066405531,0.000227499307390997,0.0000278054709033441,0.0000687553462337237,0.0000222443767226753,0.00000657220221351771,0.0000667331301680259,0.0000252777008212219,0.0000278054709033441,0.0000348832271332863,0.00000707775622994214,0.00000252777008212219,0.0000156721745091576,0.0000111221883613377,0.0000404443213139551,0.000210816024848991,0.0000232554847555242,0.000408487645270947,0.0000131444044270354,0.0000242665927883731,0.000354393365513532,0.0000298276869690419,0.000100605249268463,0.000041455429346804,0.0000313443490183152,0.000251765900179371,0.000987852548093354,0,1
"Sg_CM17_7",0.000748725498324594,0.000400398781008156,0.00239278715973687,0.00211726022078555,0.0000187054986077042,0.000276032492967744,0.0000834164127100324,0.0000813941966443347,0.000186549432060618,0.000116782977794045,0.0000616775900037815,0.0000434776454125017,0.000202221606569776,0.000281088033131988,0.0000682497922172993,0.000603125941594356,0.000951452658910794,0.000415059847484464,0.0000692609002501481,0.000525270623064992,0.000209804916816142,0.0000717886703322703,0.000133971814352476,0.000145599556730238,0.000111221883613377,0.000157732853124425,0.0000920108309892479,0.0000798775345950613,0.0000697664542665726,0.00000505554016424439,0.0000733053323815436,0.0000535887257409905,0.000141049570582418,0.0000101110803284888,0.0000222443767226753,0.000238115941735911,0.00000202221606569776,0.000328610110675885,0.0000904941689399746,0.000969147049485649,0.000192110526241287,0.000241654819850882,0.000109199667547679,0.0000697664542665726,0.00152121203542114,0.0000505554016424439,0.000248227022064399,0.000238621495752335,0.0000480276315603217,0.0000262888088540708,0.000200704944520502,0.0000404443213139551,0.000327093448626612,0.00109048001342751,0.000267438074688528,0.0006309314124977,0.0000692609002501481,0.000110210775580528,0.000413037631418767,0.000128410720171807,0.000248227022064399,0.0000449943074617751,0.00037360441813766,0.00046814301920903,0.00176084463920632,0,1
"Sg_CM32A_26",0.00183667774166999,0.00261927535909502,0.00180078340650385,0.00104953013809714,0.000154699529025878,0.000572287146592465,0.000176438351732129,0.000469154127241879,0.000242665927883731,0.000229521523456695,0.000602114833561507,0.0000788664265622125,0.000372593310104811,0.000871069570299308,0.000128916274188232,0.000388771038630394,0.000557626080116156,0.000304849071903937,0.000450954182650599,0.000596553739380838,0.000440337548305686,0.000339226745020799,0.000722436689470523,0.000598070401430111,0.000514148434703654,0.000798269791934189,0.000606159265692902,0.000284121357230535,0.000517687312818625,0.000133466260336052,0.000382198836416876,0.000379671066334754,0.00064458137094116,0.000515159542736503,0.000531337271262085,0.00032911566469231,0.000196660512389107,0.00107278562285266,0.00081545862849262,0.000587453767085198,0.000998974736454691,0.000387759930597545,0.000470165235274728,0.000250754792146522,0.00178713344806039,0.00089634727112053,0.000245699251982277,0.000449437520601326,0.00115822425162839,0.000199693836487653,0.000618798116103513,0.000523753961015719,0.00116378534580906,0.00049544293609595,0.000182504999929222,0.0006081814817586,0.00115367426548057,0.000671881287828079,0.00120321855909016,0.000713336717174883,0.000462076371011937,0.000724458905536221,0.000542965013639847,0.00104548570596574,0.00321077355831161,0,1
"Sg_D18_45",0.000107177451481981,0.000898369487186228,0.000348832271332863,0.0000818997506607591,0.0000181999445912798,0.000783103171441456,0.000343776731168618,0.0000141555124598843,0.000327599002643036,0.00086449736808579,0.0000682497922172993,0.000673903503893777,0.0226518532599134,0.0126504781529887,0.000529315055196388,0.00114204652310281,0.00550902211697711,0.00247974245056187,0.0351906039752723,0.0000677442382008748,0.00643620818309953,0.0761136849427814,0.00678807377853094,0.0140326628338932,0.00238014830932626,0.00538617249098597,0.000106166343449132,0.00432855348862605,0.00875821778053698,0.00112687990261007,0.0373053364259758,0.00536038923614833,0.000339226745020799,0.0176691128740341,0.00546857779566316,0.0102698242896461,0.000901908365301199,0.00852667404101459,0.00284728022050244,0.0126039671834777,0.0037360441813766,0.0101252358409487,0.00606765930512612,0.0304616517056381,0.0104123905222777,0.0000510609556588683,0.0000278054709033441,0.0386743767024531,0.00053639281142633,0.0000232554847555242,0.030127986054798,0.00697563431862441,0.00768138772555292,0.000383209944449725,0.0000257832548376464,0.00382249391818518,0.00444533646642009,0.00232554847555242,0.00126995168925819,0.0187570651173795,0.00559243852968714,0.00534218929155705,0.000505048462408014,0.00599334286471172,0.0119391636518795,0,1
"Sg_E06_10",0.000242665927883731,0.000327599002643036,0.00105761900235993,0.000281088033131988,0.00000404443213139551,0.000153688420993029,0.0000293221329526175,0.000123860734023988,0.00010363857336701,0.000110716329596952,0.0000556109418066883,0.0000156721745091576,0.0000454998614781995,0.000291704667476901,0.0000551053877902638,0.000074821994430817,0.000268449182721377,0.0000434776454125017,0.0000500498476260195,0.000316476814281699,0.000149138434845209,0.0000348832271332863,0.000049544293609595,0.000620314778152787,0.000110210775580528,0.0000854386287757302,0.0000242665927883731,0.0000475220775438973,0.00009908858721919,0.00000404443213139551,0.0000642053600859037,0.0000631942520530549,0.000082910858693608,0.00000202221606569776,0.0000267943628704953,0.000158743961157274,0.00000556109418066883,0.000183010553945647,0.0000444887534453506,0.000178966121814251,0.0001799772298471,0.000102121911317737,0.000054094279757415,0.0000682497922172993,0.000556614972083307,0.0000606664819709327,0.000041455429346804,0.0000353887811497107,0.0000581387118888105,0.0000454998614781995,0.000508081786506561,0.0000156721745091576,0.000100099695252039,0.000233565955588091,0.0000687553462337237,0.000267438074688528,0.0000879663988578524,0.000187054986077042,0.000223454875259602,0.000163293947305094,0.000206266038701171,0.0000692609002501481,0.000127905166155383,0.000436293116174291,0.000935780484401636,0,1
"Sg_G18_1",0.00109149112146036,0.00000202221606569776,0.00210512692439136,0.000383715498466149,0.00000101110803284888,0.0027057250959036,0.000368043323956992,0.0000278054709033441,0.000704742298895668,0.00000252777008212219,0.0000475220775438973,0.00000859441827921546,0.00128764607983305,0.00448375857166835,0.00000707775622994214,0.00202373272774703,0.000769453212997996,0.00000101110803284888,0.00000252777008212219,0.000966113725387103,0.00000252777008212219,0.00000303332409854663,0.0000849330747593057,0.000638009168727642,0.000723447797503372,0.00000404443213139551,0.00000505554016424439,0.000123355180007563,0.000109199667547679,0.00000101110803284888,0.00000101110803284888,0.00000556109418066883,0.00000151666204927332,0.00000353887811497107,0.0000090999722956399,0.000185538324027769,0.00000151666204927332,0.00000303332409854663,0.000111221883613377,0.000279571371082715,0.00000859441827921546,0.00541397796188932,0.0000323554570511641,0.00000505554016424439,0.00000252777008212219,0.0000353887811497107,0.000464098587077635,0.00000202221606569776,0.00000707775622994214,0.000191604972224862,0.0000237610387719486,0.00000252777008212219,0.00000707775622994214,0.000012638850410611,0.0000121332963941865,0.000956002645058614,0.00000454998614781995,0.000215366010996811,0.000185032770011345,0.00000454998614781995,0.000459043046913391,0.00034731560928359,0.000627898088399153,0.0000090999722956399,0.000758331024636658,0,1
"Sg_I05_27",0.00376334409826352,0.00090089725726835,0.00422693713132473,0.00924152742023874,0.0000657220221351771,0.000869552908250035,0.000144082894680965,0.00105559678629423,0.00123557401614133,0.000511115110605108,0.000340237853053647,0.000402420997073853,0.000228510415423846,0.000525270623064992,0.000146610664763087,0.000932241606286665,0.00180735560871737,0.000827591924886806,0.000236093725670213,0.000565209390362523,0.000260360318458586,0.0000237610387719486,0.000261371426491435,0.00018907720214274,0.00013548847640175,0.000235082617637364,0.0000480276315603217,0.0000424665373796529,0.000165316163370792,0.00135539031803392,0.0000581387118888105,0.0000980774791863411,0.000122849625991139,0.0000166832825420065,0.000274010276902046,0.000371582202071963,0.000812930858410498,0.000393321024778213,0.000339732299037223,0.00432450905649465,0.000301310193788966,0.00013093849025393,0.000178966121814251,0.000100605249268463,0.00440843102322111,0.000183516107962071,0.000669859071762381,0.000219915997144631,0.0000743164404143925,0.000119310747876168,0.000255304778294342,0.0000111221883613377,0.0002027271605862,0.00447920858552053,0.000376132188219783,0.00157328409911285,0.000118805193859743,0.000190088310175589,0.000553581647984761,0.000173910581650007,0.00064913135708898,0.0000894830609071257,0.000266932520672104,0.000450954182650599,0.00743417181152137,0,1
"Sg_I06_25",0.000131444044270354,0.000291704667476901,0.0000813941966443347,0.000166832825420065,0.000113244099679074,0.000134477368368901,0.0006309314124977,0.000552570539951912,0.0000727997783651192,0.000164810609354367,0.00149441767255064,0.00173405027633583,0.000392815470761789,0.00208439920971796,0.0000945386010713701,0.000168855041485763,0.000439326440272837,0.00010363857336701,0.00258489768597816,0.000547009445771243,0.000859947381937971,0.00239632603785184,0.000626886980366304,0.000939319362516607,0.000465615249126908,0.000775014307178665,0.00606260376496187,0.00132354041499918,0.00302169635616887,0.0000252777008212219,0.00320672912618022,0.000645086924957584,0.00545947782336752,0.00463036923643144,0.000191604972224862,0.000431743130026471,0.000358437797644927,0.00274819163328325,0.000478759653553944,0.000428709805927924,0.00463744699266138,0.000595542631347989,0.00162636727083742,0.00396303793475118,0.000278560263049866,0.00298580202100274,0.000134982922385325,0.00353887811497107,0.00544026677074339,0.000176438351732129,0.000351865595431409,0.00787097048171209,0.00443168650797663,0.000124871842056836,0.000266932520672104,0.000692609002501481,0.003040907408793,0.0047744521311124,0.00512783438859308,0.00101919689711167,0.000609192589791449,0.0027037028798379,0.00029726576165757,0.00197115511003889,0.000291704667476901,0,1
"Sg_K14_18",0.000209299362799718,0.0000146610664763087,0.0000677442382008748,0.000980774791863411,0.00104700236801501,0.00587655988691768,0.000549537215853365,0.0000227499307390997,0.0000156721745091576,0.0000151666204927332,0.0000753275484472414,0.0000090999722956399,0.000510609556588683,0.0000399387672975307,0.0000136499584434599,0.0000090999722956399,0.00152677312960181,0.0000141555124598843,0.0000773497645129392,0.0000626886980366304,0.0000636998060694793,0.0000682497922172993,0.0024514314256421,0.0000894830609071257,0.0338989134633079,0.0000722942243486948,0.000090999722956399,0.00260714206270083,0.0213910015429509,0.0000343776731168618,0.000114760761728348,0.0000879663988578524,0.0160103901461456,0.0000950441550877945,0.0000429720913960773,0.00911058892998481,0.0000995941412356145,0.0000854386287757302,0.0000252777008212219,0.00253535339236856,0.000146610664763087,0.0100554693866821,0.0252731508350741,0.000248227022064399,0.0000308387950018908,0.0000475220775438973,0.0000272999168869197,0.0000606664819709327,0.000165821717387216,0.00000353887811497107,0.000127905166155383,0.000100605249268463,0.0000535887257409905,0.0108835668655853,0.017087725755146,0.0000520720636917172,0.000078360872545788,0.000499487368227346,0.00100756915473391,0.000155710637058727,0.001328090401147,0.0000884719528742768,0.0210654247563735,0.0000733053323815436,0.0165088664063401,0,1
