"SampleID"	"Group"	"Sg_A27_31"	"Sg_B04_2"	"Sg_D18_45"	"Sg_M12_6"	"Sg_A11_10"	"Sg_YB37_28"	"Sg_OB03r2_39"	"Sg_OB24r1_18"	"Gp_MJ4_197"	"Gp_NH_148"	"Sg_K36_16"	"Sg_K15_44"	"Sg_M02_5"	"Sg_P27_36"	"Sg_OA11r1_9"	"Sg_Z17_26"	"Sg_CM33A_60"	"Sg_M07_27"	"Sg_OM21r1_55"	"Sg_B07_53"	"Sg_K36_3"	"Sg_E06_10"	"Sg_Z03_24"	"Sg_CK52A_43"	"Sg_B07_50"	"Sg_K40_4"	"Sg_CA25_21"	"Sg_G18_1"	"Sg_B26_4"	"Sg_CM17_7"	"Sg_G09_4"	"Sg_CM32A_26"	"Sg_G18_19"	"Sg_M07_39"	"Sg_I05_27"
"I12"	"C"	0.000744681066193198	0.0000824053046771835	0.0000121332963941865	0.00186296655052406	0.000358437797644927	0.000322037908462368	0.000868036246200762	0.0013943179772986	0.0000272999168869197	0.0000606664819709327	0.00870766237889454	0.00133668481942622	0.0000444887534453506	0.00000758331024636658	0.0000151666204927332	0.000341248961086496	0.0000262888088540708	0.00000707775622994214	0.0000657220221351771	0.0152186925564249	0.000499487368227346	0.000104649681399859	0.000316476814281699	0.0000101110803284888	0.00000859441827921546	0.0000202221606569776	0.000850341855625906	0.00353635034488895	0.0000465109695110484	0.0000146610664763087	0.000360965567727049	0.000526787285114265	0.0013548847640175	0.00356617803185799	0.000551053877902638
"I13"	"C"	0.0000500498476260195	0.0000187054986077042	0.0000232554847555242	0.0000262888088540708	0.0000318499030347396	0.0000444887534453506	0.0000116277423777621	0.00022092710517748	0.0000111221883613377	0.000016177728525582	0.0000166832825420065	0.0000475220775438973	0.00000252777008212219	0.00000202221606569776	0.00000859441827921546	0.000105155235416283	0.000707775622994214	0.0000353887811497107	0.123093303027055	0.00139785685541357	0.0107339228767237	0.00329772884913661	0.00312432382150303	0.000848825193576633	0.000133466260336052	0.000413037631418767	0.000525776177081416	0.00862677373626662	0.00136095141221459	0.000653175789220375	0.000657725775368195	0.00156873411296503	0.00238621495752335	0.0017315225062537	0.000966619279403527
"I14"	"L"	0.000434776454125017	0.00000101110803284888	0.00000202221606569776	0.0000712831163158459	0.000127399612138959	0.000524765069048568	0.0000535887257409905	0.000352876703464258	0.000012638850410611	0.00000859441827921546	0.0000106166343449132	0.0000363998891825596	0.000054094279757415	0.00000303332409854663	0.0000090999722956399	0.0000136499584434599	0.00000252777008212219	0.00000353887811497107	0.00000252777008212219	0.0234794451848002	0.000652670235203951	0.00000202221606569776	0.00000454998614781995	0.000000505554016424439	0.00000101110803284888	0.0000146610664763087	0.000655703559302497	0.00000202221606569776	0.00000101110803284888	0.00000202221606569776	0.000236599279686637	0.0000480276315603217	0.00561771623050837	0.0000116277423777621	0.00013548847640175
"I15"	"C"	0.000614753683972118	0.000124871842056836	0.0000202221606569776	0.000936791592434485	0.000434270900108593	0.000403937659123127	0.00125074063663406	0.00223657096866172	0.0000566220498395372	0.0000682497922172993	0.0277796876485065	0.00431439797616616	0.000943869348664427	0.000057633157872386	0.000104144127383434	0.00000252777008212219	0.0000505554016424439	0.00000454998614781995	0.0000500498476260195	0.00244587033146144	0.00201614941750066	0.0000212332686898264	0.000678959044058021	0.00000454998614781995	0.0000156721745091576	0.0000222443767226753	0.000377143296252631	0.00000353887811497107	0.0000293221329526175	0.0000520720636917172	0.000602620387577931	0.000855902949806575	0.00101313024891458	0.00000252777008212219	0.000304343517887512
"K01"	"C"	0.0198975949784331	0.0413437019091742	0.00664955197803064	0.0184279494526872	0.00174517246469716	0.00145346779722026	0.00209501584406287	0.0235294950324262	0.000253788116245068	0.000247721468047975	0.0103876183754729	0.0043730422420714	0.0137010193991187	0.0115696036658733	0.000115266315744772	0	0.0000318499030347396	0.000122344071974714	0.000028816578936193	0.000173910581650007	0.0000116277423777621	0.000244688143949428	0.0000141555124598843	0.00000556109418066883	0.0000136499584434599	0.0000601609279545082	0.0000090999722956399	0.0000480276315603217	0.0000844275207428813	0.000439326440272837	0.00016632727140364	0.000556614972083307	0.000524259515032143	0	0.0000834164127100324
"K03"	"C"	0.00813486967828565	0.0263666641726002	0.00181746668904586	0.0216382174569824	0.000825569708821109	0.000799786453983462	0.00102475799129234	0.0184886159346582	0.0000636998060694793	0.000146610664763087	0.00887398965029818	0.00325880118987193	0.00357578355817006	0.00821727498296283	0.0000778553185293636	0	0.0000515665096752928	0.0000389276592646818	0.0000176943905748554	0.00109553555359176	0.0000353887811497107	0.000129421828204656	0.0000439831994289262	0.00000303332409854663	0.00000505554016424439	0.0000358943351661352	0.0000485331855767461	0.000564198282329674	0.0000586442659052349	0.000226993753374573	0.000166832825420065	0.000361471121743474	0.000488365179866008	0.00000101110803284888	0.000086449736808579
"K07"	"C"	0.000430732021993622	0.000416070955517313	0.00836034676961095	0.0123400679869041	0.000129421828204656	0.000278054709033441	0.000186549432060618	0.000356921135595654	0.0000197166066405531	0.0000166832825420065	0.000541953905606999	0.000658231329384619	0.0000181999445912798	0.000383715498466149	0.0000298276869690419	0.00293929105149169	0.0000793719805786369	0.0000692609002501481	0.000215366010996811	0.173644154683351	0.000469659681258304	0.000171888365584309	0.00877945104922681	0.000676936827992324	0.000356921135595654	0.000287154681329081	0.015746490949572	0.00188217760314819	0.0015287953456675	0.00414655404271325	0.00900593924858495	0.00102728576137446	0.00229976522071477	0.00212787685513046	0.0228186860853335
"K09"	"C"	0.000273504722885621	0.0000591498199216593	0.00257428105163324	0.00509345671547622	0.0000945386010713701	0.000384221052482574	0.000138016246483872	0.000365009999858445	0.0000181999445912798	0.0000101110803284888	0.000336193420922252	0.000390287700679667	0.0000111221883613377	0.000195649404356258	0.0000353887811497107	0.00163496168911664	0.000103133019350586	0.0000859441827921546	0.000221432659193904	0.221629319706293	0.000464604141094059	0.00016177728525582	0.00514097879302012	0.00178359456994542	0.000487354071833159	0.000298276869690419	0.0145412501744161	0.00194385519315197	0.00140240684156139	0.00538920581508452	0.00716926150691497	0.00105256346219568	0.00227044308776216	0.0019590218136447	0.0278878762080213
"K10"	"C"	0.012651994815038	0.0410798027126006	0.00176590017937056	0.0179759841620038	0.00118602972253173	0.00109149112146036	0.00276184159172671	0.0189496811976372	0.000131949598286779	0.000153182866976605	0.0160007846198335	0.00476990214496458	0.00849937412412767	0.0144082894680965	0.0000935274930385212	0.00000151666204927332	0.000185032770011345	0.000122849625991139	0.0000505554016424439	0.000521226190933596	0.0000682497922172993	0.000225982645341724	0.0000995941412356145	0.000016177728525582	0.0000101110803284888	0.000128916274188232	0.000266426966655679	0.0019549773815133	0.0000591498199216593	0.000272999168869197	0.00033366565084013	0.000513137326670806	0.000573803808641738	0.00000202221606569776	0.000123355180007563
"K14"	"C"	0.0195179239120983	0.00370166650825974	0.0019590218136447	0.0394433243614347	0.0012618628249954	0.00345900058037601	0.00152828979165108	0.0501125363240561	0.000147116218779512	0.000550042769869789	0.0231857183012576	0.0155078694538197	0.000238621495752335	0.000232554847555242	0.000822536384722562	0.0000293221329526175	0.000289682451411203	0.0000121332963941865	0.0000394332132811062	0.0000176943905748554	0.00000404443213139551	0.00011273854566265	0.0000480276315603217	0.0000818997506607591	0.000033366565084013	0.0000803830886114858	0.000263393642557133	0.0000202221606569776	0.000326082340593763	0.000192616080257711	0.000376637742236207	0.000992402534241174	0.000537403919459178	0.0000197166066405531	0.000285638019279808
"K15"	"L"	0.0185487768626127	0.0039160214112237	0.00188723314331243	0.0393851856495459	0.00122394627376357	0.00321835686855798	0.00132505707704845	0.0491843391499008	0.000145094002713814	0.000536898365442754	0.0199906169174552	0.0145382168503176	0.000245193697965853	0.000209804916816142	0.00086904735423361	0.0000338721191004374	0.000315971260265274	0.000016177728525582	0.0000444887534453506	0.0000267943628704953	0.00000303332409854663	0.00014003846254957	0.0000556109418066883	0.0000778553185293636	0.0000252777008212219	0.0000884719528742768	0.000351360041414985	0.0000187054986077042	0.000325071232560914	0.000171382811567885	0.0003599544596942	0.00103739684170295	0.000527798393147114	0.0000257832548376464	0.000298782423706843
"K16"	"E"	0.0393487857603634	0.00157985630132637	0.0326360395302797	0.0539709245774074	0.00378002738080553	0.00354747253325029	0.00154042308804527	0.0024307037109687	0.0000975719251699167	0.00708180066207354	0.0155371915867723	0.00494836271276241	0.00041000430732022	0.00459295823921603	0.000665309085614562	0.00120726299122156	0.000158743961157274	0.0000480276315603217	0.00481085202029496	0.000131949598286779	0.00233262623178236	0.00043275423805932	0.000957519307107887	0.0000960552631206434	0.000125377396073261	0.00554036646599543	0.00135994030418174	0.00000303332409854663	0.000213849348947538	0.000965102617354254	0.000478759653553944	0.0016693393622335	0.0008109086423448	0.000491398503964555	0.00395798239458693
"K17"	"C"	0.0000257832548376464	0.000266426966655679	0.00000151666204927332	0.000131444044270354	0.0000480276315603217	0.000054094279757415	0.0000171888365584309	0.000422643157730831	0.00000252777008212219	0.0000849330747593057	0.0000460054154946239	0.0000465109695110484	0.0000116277423777621	0.0000111221883613377	0.0000116277423777621	0.0156863300216175	0.000653175789220375	0.0000338721191004374	0.000972180373584196	0.000182504999929222	0.0001799772298471	0.000423148711747255	0.0439852216449919	0.000737097755946832	0.00030181574780539	0.00741293854283155	0.000495948490112375	0.0188354259899253	0.000228004861407422	0.003198134707901	0.0130185214769457	0.00255557555302554	0.00120827409925441	0.00207125480529093	0.0244521311124008
