SampleID	Group	Assemble	Cooperation
OA9r1	L	MJ4	Majorbio
OB03r2	L	MJ4	Majorbio
OB05r2	L	MJ4	Majorbio
OB18r1	L	MJ4	Majorbio
OB24r1	L	MJ4	Majorbio
OM15r2	L	MJ4	Majorbio
OM17r2	L	MJ4	Majorbio
OM21r1	L	MJ4	Majorbio
CA40A	E	B1	BGI
CD21A	E	B1	BGI
CD22A	C	B1	BGI
CD23A	C	B1	BGI
CD24A	E	B1	BGI
CD25A	E	B1	BGI
CD26A	C	B1	BGI
CD27A	E	B1	BGI
CD28A	E	B1	BGI
CD29A	E	B1	BGI
CD30A	E	B1	BGI
CE19A	E	B1	BGI
CG50A	C	B1	BGI
OG24B2A	L	B1	BGI
CK05A	C	B1	BGI
CK51A	C	B1	BGI
CK52A	C	B1	BGI
CK28A	C	B1	BGI
CM28A	E	B1	BGI
CM29A	E	B1	BGI
CM30A	E	B1	BGI
CM31A	E	B1	BGI
CM32A	E	B1	BGI
CM33A	E	B1	BGI
CM34A	E	B1	BGI
CM35A	E	B1	BGI
CM36A	E	B1	BGI
