ID	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_K17_57	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__UBA71	s__
Sg_K26_29	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__
Sg_M21_51	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__Methanarcanum	s__Methanarcanum hacksteinii
Sg_OM21r1_32	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanosphaera	s__Methanosphaera stadtmanae
Gp_EAB_1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UMGS1883	f__UMGS1540	g__UMGS1540	s__UMGS1540 sp900552775
Gp_EAB_107	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS1271	s__UMGS1271 sp900550255
Gp_EAB_118	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__UBA7748	s__UBA7748 sp003862175
Gp_EAB_119	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter sp900542115
Gp_EAB_123	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__
Gp_EAB_13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-841	s__CAG-841 sp000437375
Gp_EAB_131	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Onthocola_B	s__Onthocola_B sp000438075
Gp_EAB_139	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Zag111	s__Zag111 sp002103105
Gp_EAB_141	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__GCA-900066495	s__GCA-900066495 sp902362365
Gp_EAB_159	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS856	s__UMGS856 sp900546265
Gp_EAB_164	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus sp905215645
Gp_EAB_165	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E cecorum
Gp_EAB_171	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Limisoma	s__Limisoma sp900541935
Gp_EAB_187	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp900551465
Gp_EAB_192	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900766145
Gp_EAB_193	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__Butyribacter huaianensis
Gp_EAB_202	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Alangreenwoodia	s__Alangreenwoodia sp905206455
Gp_EAB_214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp900542875
Gp_EAB_22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Parvimonas	s__Parvimonas micra
Gp_EAB_228	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__
Gp_EAB_234	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus agalactiae
Gp_EAB_244	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__UMGS124	g__	s__
Gp_EAB_263	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Bianqueaceae	g__Bianquea	s__Bianquea renquensis
Gp_EAB_271	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Scybalenecus	s__Scybalenecus sp900540085
Gp_EAB_276	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__Choladousia sp902363665
Gp_EAB_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Merdisoma	s__Merdisoma sp900553635
Gp_EAB_292	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium celatum
Gp_EAB_30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter vanvlietii
Gp_EAB_302	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Parascardovia	s__Parascardovia denticolens
Gp_EAB_308	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Onthousia	s__Onthousia sp000438295
Gp_EAB_318	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__Choladousia sp900757145
Gp_EAB_321	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp000438255
Gp_EAB_340	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes dispar
Gp_EAB_360	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp001916005
Gp_EAB_362	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Thermophilibacter	s__Thermophilibacter avistercoris
Gp_EAB_398	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAKPTA01	s__CAKPTA01 sp934190785
Gp_EAB_399	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp900540005
Gp_EAB_400	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium disporicum_B
Gp_EAB_409	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Baileyella	s__Baileyella timonense
Gp_EAB_430	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp900545285
Gp_EAB_458	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Arachnia	s__Arachnia sp905372155
Gp_EAB_462	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Lawsonella	s__
Gp_EAB_5	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_C	s__Enterococcus_C asini
Gp_EAB_50	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Fimadaptatus	s__Fimadaptatus sp900553645
Gp_EAB_55	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp900539325
Gp_EAB_56	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lactonifactor	s__Lactonifactor sp009677585
Gp_EAB_73	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus equicursoris
Gp_EAB_75	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Aphodocola	s__Aphodocola sp900547225
Gp_EAB_77	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B pernyi
Gp_EAB_84	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia cardiffensis
Gp_EAB_96	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__UBA1820	g__Merdimorpha	s__Merdimorpha sp003150615
Gp_MJ1_1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Oligella	s__Oligella ureolytica
Gp_MJ1_106	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Marvinbryantia	s__Marvinbryantia sp900066075
Gp_MJ1_111	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum stercoripullorum
Gp_MJ1_113	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__43-108	s__43-108 sp001915545
Gp_MJ1_12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena
Gp_MJ1_124	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__F23-B02	s__F23-B02 sp001916715
Gp_MJ1_129	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A luti
Gp_MJ1_141	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces dentalis
Gp_MJ1_149	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-465	g__CAG-465	s__CAG-465 sp000433755
Gp_MJ1_155	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp002438605
Gp_MJ1_170	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Catenibacterium	s__Catenibacterium mitsuokai
Gp_MJ1_174	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides faecavium
Gp_MJ1_180	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia bouchesdurhonensis
Gp_MJ1_224	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Wohlfahrtiimonadaceae	g__Ignatzschineria	s__
Gp_MJ1_260	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalicoccus	s__Faecalicoccus pleomorphus
Gp_MJ1_272	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Longicatena	s__Longicatena caecimuris
Gp_MJ1_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp000435995
Gp_MJ1_294	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900545895
Gp_MJ1_296	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides bouchesdurhonensis
Gp_MJ1_324	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus reuteri
Gp_MJ1_329	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mutans
Gp_MJ1_33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Neofamilia	s__Neofamilia sp012513395
Gp_MJ1_342	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter pasteurii
Gp_MJ1_360	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella confusa
Gp_MJ1_361	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp900539375
Gp_MJ1_403	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia merdigallinarum
Gp_MJ1_444	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp003477525
Gp_MJ1_451	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cutis
Gp_MJ1_71	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum stercoris
Gp_MJ2_1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp905214345
Gp_MJ2_10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides nordii
Gp_MJ2_113	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides clarus
Gp_MJ2_133	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus stomatis
Gp_MJ2_136	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia sp000432195
Gp_MJ2_143	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Enorma	s__
Gp_MJ2_144	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia sp900545155
Gp_MJ2_145	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp900539715
Gp_MJ2_169	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__Paramuribaculum sp900759915
Gp_MJ2_193	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenella	s__Christensenella hongkongensis
Gp_MJ2_228	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella merdavium
Gp_MJ2_236	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Scatomorpha	s__
Gp_MJ2_247	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__	s__
Gp_MJ2_253	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__Eubacterium_F sp003491505
Gp_MJ2_262	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp900555635
Gp_MJ2_271	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900542985
Gp_MJ2_287	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RUG420	s__RUG420 sp900542575
Gp_MJ2_302	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Eubacterium_B	s__Eubacterium_B sulci
Gp_MJ2_304	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
Gp_MJ2_318	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia spiroformis
Gp_MJ2_32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_J	s__Clostridium_J culturomicium
Gp_MJ2_325	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp019417665
Gp_MJ2_33	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__UBA7173	s__UBA7173 sp900548705
Gp_MJ2_342	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000436595
Gp_MJ2_349	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900555485
Gp_MJ2_40	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella paramesenteroides
Gp_MJ2_57	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp000435835
Gp_MJ2_63	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter variabilis
Gp_MJ2_69	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gordonii
Gp_MJ2_79	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Pseudobutyricicoccus	s__Pseudobutyricicoccus sp003477405
Gp_MJ2_87	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Anaeromassilibacillus	s__Anaeromassilibacillus stercoravium
Gp_MJ2_88	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Anaerovibrio	s__Anaerovibrio sp900548165
Gp_MJ3_108	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__UBA1820	g__Merdimorpha	s__Merdimorpha sp002314265
Gp_MJ3_116	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Intestinibacter	s__Intestinibacter sp900540355
Gp_MJ3_158	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Limivivens	s__Limivivens sp905214955
Gp_MJ3_204	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Marvinbryantia	s__Marvinbryantia shaoxingensis
Gp_MJ3_216	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus oris
Gp_MJ3_223	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Muricomes	s__Muricomes sp000509105
Gp_MJ3_235	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Zhenpiania	s__Zhenpiania massiliensis
Gp_MJ3_238	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Atopostipes	s__
Gp_MJ3_263	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Vagococcaceae	g__Vagococcus	s__
Gp_MJ3_289	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina ventriculi
Gp_MJ3_301	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	s__Dielma fastidiosa
Gp_MJ3_303	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Microlunatus	s__
Gp_MJ3_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus_A	s__Coprococcus_A catus
Gp_MJ3_324	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Atopococcus	s__
Gp_MJ3_328	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__
Gp_MJ3_345	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__Clostridium_Q symbiosum
Gp_MJ3_362	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__D16-34	s__
Gp_MJ3_377	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__CAG-238	s__CAG-238 sp900754805
Gp_MJ3_384	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella stercorigallinarum
Gp_MJ3_408	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Sellimonas	s__Sellimonas avistercoris
Gp_MJ3_423	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Terrisporobacter	s__Terrisporobacter sp900557165
Gp_MJ3_426	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladocola	s__Choladocola sp003480725
Gp_MJ3_44	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium sp900545535
Gp_MJ3_444	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS872	s__UMGS872 sp900546275
Gp_MJ3_477	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides faecis
Gp_MJ3_55	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737 sp905211675
Gp_MJ4_129	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
Gp_MJ4_143	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-628	s__CAG-628 sp934085635
Gp_MJ4_150	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Cellulosilyticum	s__Cellulosilyticum sp019418225
Gp_MJ4_170	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Micropruina	s__
Gp_MJ4_180	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-317	s__CAG-317 sp000433215
Gp_MJ4_183	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__GCA-002748415	g__	s__
Gp_MJ4_191	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__
Gp_MJ4_197	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp000436615
Gp_MJ4_2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter johnsonii
Gp_MJ4_217	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__DSM-111022	s__DSM-111022 sp015863195
Gp_MJ4_228	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
Gp_MJ4_246	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__JAIBCC01	s__
Gp_MJ4_25	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__CADBMC01	s__
Gp_MJ4_275	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
Gp_MJ4_311	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum
Gp_MJ4_320	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__Enteromonas sp900539595
Gp_MJ4_337	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Limivivens	s__Limivivens sp900066135
Gp_MJ4_340	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp008014645
Gp_MJ4_346	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Phycicoccus_A	s__Phycicoccus_A elongatus
Gp_MJ4_37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Fimisoma	s__Fimisoma sp000435715
Gp_MJ4_379	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium tenue
Gp_MJ4_383	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__UBA1259	s__
Gp_MJ4_394	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Dolosicoccus	s__Dolosicoccus sp945278685
Gp_MJ4_402	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp900553985
Gp_MJ4_41	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp900759995
Gp_MJ4_410	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UBA5884	s__UBA5884 sp018376535
Gp_MJ4_413	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1750	g__Spyradocola	s__Spyradocola sp905193155
Gp_MJ4_414	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas_B	s__
Gp_MJ4_424	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp905215425
